"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","markerSeries","markerSubseries","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","ocrCharacterCount","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","withdrawalSheetItemCount","withdrawalSheetPages","releasedInPartSheetCount","noCopyIndicatedSheetCount","withdrawalMetadataNote","withdrawalInventory","archivalLocator","provenanceStem","catalogUrl","pdfUrl"
"452050387","1989-01-01","1989-12-31","1989 (mixed internal dates)","Folder-title year; January 1 is a sorting key only","Economic Summit, Miscellaneous 1989 [1]","CF00186-001","Strategic Trade, Technology, and Investment Controls","Boundary review","Economic Summit miscellaneous files; CBW sanctions; Arms control; Mitchell Reiss","Retain for a selective sanctions and strategic-controls check, but route most of the file to the arms-control volumes. The released memoranda and the withdrawal descriptions are predominantly ABM, CBW, personnel, PLO, and Soviet-policy material rather than summit economic policy.","Eight withdrawal/redaction sheets describe 31 pages; none indicates that a released copy follows.","verified","Deal, Timothy E., Files, and Reiss, Mitchell B., Files","Summit Briefing Books Files / Economic Summit Files","true","159","80096468","80096464","HTTP Content-Length","Restricted - Possibly","281803","0","4","0","0","8","377","43","39","116","21","142","16","0","8","31","0","8","The opening marker names both Deal and Reiss files and the combined Summit Briefing Books Files / Economic Summit Files subseries. Later withdrawal sheets abbreviate the series and omit the subseries. The opening marker controls the file-level locator.","[{""itemNumber"":""01"",""type"":""Memo"",""title"":""Memorandum: Mikhail Gorbachev"",""date"":""n.d."",""restriction"":""P-1, (b)(1), P-5"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""02"",""type"":""Memo"",""title"":""Memorandum for Rostow RE: Security Clearance - Mitchell Reiss"",""date"":""10/7/88"",""restriction"":""(b)(2), P-6, (b)(6)"",""classification"":""Not stated"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03"",""type"":""Memo"",""title"":""Memorandum from Mitchell Reiss to Arnold Kanter and Judyt Mandel RE: Pending CBW Sanctions Legislation"",""date"":""4/13/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""04"",""type"":""Memo"",""title"":""From Mitchell Reiss to Nicholas Rostow RE: Nitze Memorandum and ABM Treaty Interpretation"",""date"":""2/27/89"",""restriction"":""P-1, (b)(1), P-5"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""05"",""type"":""Memo"",""title"":""From Nicholas Rostoe to Brent Scowcroft RE: Response to Nitze Paper on ABM Treaty Interpretation"",""date"":""3/14/89"",""restriction"":""P-1, (b)(1), P-5"",""classification"":""Not stated"",""pages"":5,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""06"",""type"":""Memo"",""title"":""From Mitchell Reiss to Judyt Mandel RE: Symms Proposed Nonproliferation Bill"",""date"":""7/30/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""08"",""type"":""Memo"",""title"":""From Mitchell Reiss to Arnie Kanter and Judyt Mandel Transmittal of Annual Section 601 Report"",""date"":""5/19/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""09"",""type"":""Notes"",""title"":""Handwritten Notes RE: PLO question"",""date"":""9/12/88"",""restriction"":""P-1, (b)(1), P-5"",""classification"":""Not stated"",""pages"":12,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–001, Economic Summit, Miscellaneous 1989 [1].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–001, Economic Summit, Miscellaneous 1989 [1].","https://catalog.archives.gov/id/452050387","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-001.pdf"
"452050388","1989-01-01","1989-12-31","1989 (mixed internal dates)","Folder-title year; January 1 is a sorting key only","Economic Summit, Miscellaneous 1989 [2]","CF00186-002","Strategic Trade, Technology, and Investment Controls","Volume XXX review","CFIUS; Huels-Monsanto acquisition; NTT procurement; Strategic trade controls; CBW sanctions","Prioritize the CFIUS Huels-Monsanto record, NTT procurement history, and National Policy on Strategic Trade Controls. The file also carries unrelated legal and administrative memoranda, which should not be promoted merely because they share the folder.","Thirteen sheets describe 40 pages. A 4-page Confidential draft on national strategic-trade policy is marked released in part with a copy following; CFIUS and NTT records remain separately described.","verified","Deal, Timothy E., Files, and Reiss, Mitchell B., Files","Summit Briefing Books Files / Economic Summit Files","true","139","66177534","66177536","HTTP Content-Length","Restricted - Possibly","237709","0","2","0","0","13","256","23","51","157","19","1","2","3","13","40","1","12","The opening marker names both Deal and Reiss files and the combined Summit Briefing Books Files / Economic Summit Files subseries. Later sheets vary among abbreviated combined-series forms, and one identifies Reiss Chron Files. The opening marker controls the file-level locator.","[{""itemNumber"":""01a"",""type"":""Memo"",""title"":""From Nicholas F. Brady to the President, Re: Committee on Foreign Investment in the United States (CFIUS): Report and Recommendation of Huels-Monsanto Acquisition"",""date"":""1/23/89"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""01b"",""type"":""Report"",""title"":""Committee on Foreign Investment in the United States (CFIUS) Report on Investigation of Huels-Monsanto Acquisition"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":6,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""02"",""type"":""Memo"",""title"":""Background Paper on CFIUS Investigation [SENT FOR AGENCY REFERRAL]"",""date"":""n.d."",""restriction"":""P-1, (b)(1)"",""classification"":""Secret"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03b"",""type"":""Letter"",""title"":""From Shintaro Abe to William E. Brock, Re: [Consultations Concerning NTT]"",""date"":""1/30/84"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03c"",""type"":""Paper"",""title"":""Improvement Measures of NTT Procurement Procedures"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03d"",""type"":""Letter"",""title"":""From Shintaro Abe to William E. Brock, Re: [NTT Consultations]"",""date"":""1/30/84"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03e"",""type"":""Minutes"",""title"":""Agreed Minutes on the NTT Arrangements"",""date"":""1/30/84"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03f"",""type"":""Letter"",""title"":""From Saburo Okita to Reubin O'D. Askew, Re: [Government Procurement and Related Markets]"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03g"",""type"":""Paper"",""title"":""Attachment I: NTT Procurement Procedures"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":9,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03h"",""type"":""Paper"",""title"":""Attachment II: Procedures of Non-binding Arbitration"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03i"",""type"":""Paper"",""title"":""Joint Statement"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""04"",""type"":""Memo"",""title"":""National Policy on Strategic Trade Controls [SENT FOR AGENCY REFERRAL]"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":4,""sheetDisposition"":""Released in part; copy follows in this PDF""},{""itemNumber"":""05"",""type"":""Memo"",""title"":""From Mitchell Reiss to Arnold Kanter and Judyt Mandel RE: Pending CBW Sanctions Legislation"",""date"":""04/13/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–002, Economic Summit, Miscellaneous 1989 [2].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–002, Economic Summit, Miscellaneous 1989 [2].","https://catalog.archives.gov/id/452050388","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-002.pdf"
"452050389","1989-01-01","1989-12-31","1989 (mixed internal dates)","Folder-title year; January 1 is a sorting key only","Economic Summit, Miscellaneous 1989 [3]","CF00186-003","Monetary Policy, Debt, and International Institutions","Volume XXX review","Baker Plan; International debt; Debt strategy; ABM Treaty","The two preliminary Baker Plan analyses are direct debt-policy leads. Treat the 163-page ABM Treaty position paper and disqualification memoranda as cross-volume material, despite their physical presence in this Economic Summit folder.","Five sheets describe 193 pages, including 28 pages of Baker Plan analysis and a separate 163-page Secret ABM Treaty position paper; no released copy is indicated on the sheets.","verified","Deal, Timothy E., Files, and Reiss, Mitchell B., Files","Summit Briefing Books Files / Economic Summit Files","true","160","87715878","87715880","HTTP Content-Length","Restricted - Possibly","284479","0","0","0","0","5","768","43","59","573","24","19","49","1","5","193","0","5","The opening marker names both Deal and Reiss files and the combined Summit Briefing Books Files / Economic Summit Files subseries. Later withdrawal sheets abbreviate the series and do not consistently preserve the subseries. The opening marker controls the file-level locator.","[{""itemNumber"":""01"",""type"":""Memo"",""title"":""The Baker Plan: An Analysis (Preliminary Draft)"",""date"":""8/31/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":15,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""02"",""type"":""Memo"",""title"":""The Baker Plan: An Analysis (Preliminary Draft)"",""date"":""6/5/89"",""restriction"":""P-5"",""classification"":""Not stated"",""pages"":13,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03"",""type"":""Memo"",""title"":""Memorandum: Disqualification"",""date"":""04/12/89"",""restriction"":""P-6, (b)(6)"",""classification"":""Not stated"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""04"",""type"":""Memo"",""title"":""Memorandum: Disqualification"",""date"":""09/27/88"",""restriction"":""P-6, (b)(6)"",""classification"":""Not stated"",""pages"":1,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""05"",""type"":""Memo"",""title"":""Antiballistic Missile Treaty Position Paper"",""date"":""n.d."",""restriction"":""P-1, (b)(1), P-5"",""classification"":""Secret"",""pages"":163,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–003, Economic Summit, Miscellaneous 1989 [3].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, Summit Briefing Books Files / Economic Summit Files, OA/ID CF00186–003, Economic Summit, Miscellaneous 1989 [3].","https://catalog.archives.gov/id/452050389","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-003.pdf"
"452050400","1989-05-01","1989-05-31","May 1989","Folder-title month; first-of-month value is a sorting key only","[NATO Summit 5/89] [1]","CF00186-014","Economic Summits and Industrialized-Country Cooperation","Boundary review","NATO Summit; Presidential meetings; Western Europe; Arms control","Use only to check whether NATO-trip conversations shaped the immediately following economic-summit trip. The file is principally a NATO and Western European security record and should be routed accordingly after the memcon copy is compared against the presidential conversation register.","No withdrawal/redaction sheets were identified across 181 served-PDF pages; the OCR identifies one memorandum of conversation.","verified","Deal, Timothy E., Files and Reiss, Mitchell B., Files","","true","181","49524826","49524824","HTTP Content-Length","Restricted - Possibly","119909","0","0","1","0","0","51","36","0","7","8","0","0","0","0","0","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, OA/ID CF00186–014, [NATO Summit 5/89] [1].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, OA/ID CF00186–014, [NATO Summit 5/89] [1].","https://catalog.archives.gov/id/452050400","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-014.pdf"
"452050401","1989-05-01","1989-05-31","May 1989","Folder-title month; first-of-month value is a sorting key only","[NATO Summit 5/89] [2]","CF00186-015","Economic Summits and Industrialized-Country Cooperation","Boundary review","NATO Summit; Arms control; Greek bilateral; Western Europe","Route the NATO declaration and arms-control concept to the Western Europe or arms-control volumes. Retain the file here only for trip-planning context and any demonstrable connection to the Paris economic agenda.","Three sheets describe 39 pages. A 1-page Greek-prime-minister background paper is marked released in part with a copy following; the NATO declaration and arms-control draft are agency-referral descriptions.","verified","Deal, Timothy E., Files and Reiss, Mitchell B., Files","","true","114","37354251","37354252","HTTP Content-Length","Restricted - Possibly","113366","1","1","0","0","3","83","45","11","17","10","0","0","0","3","39","1","2","","[{""itemNumber"":""05b"",""type"":""Report"",""title"":""Background Paper: The President's Meeting with Greek Prime Minister Papandreou. [SENT FOR AGENCY REFERRAL]"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1,""sheetDisposition"":""Released in part; copy follows in this PDF""},{""itemNumber"":""11"",""type"":""Report"",""title"":""Declaration of the Heads of State and Government Participating in the Meeting of the North Atlantic Council in Brussels. [SENT FOR AGENCY REFERRAL]"",""date"":""05/27/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":20,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""12"",""type"":""Report"",""title"":""Draft: \""A Comprehensive Concept of Arms Control and Disarmament.\"" [SENT FOR AGENCY REFERRAL]"",""date"":""05/25/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":18,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, OA/ID CF00186–015, [NATO Summit 5/89] [2].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal and Mitchell B. Reiss Files, OA/ID CF00186–015, [NATO Summit 5/89] [2].","https://catalog.archives.gov/id/452050401","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-015.pdf"
"452050396","1989-07-01","1989-07-31","July 1989","Folder-title month; first-of-month value is a sorting key only","[Paris Economic Summit July 1989]","CF00186-010","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Paris Economic Summit; Plenary sessions; Summit communique; East-West relations; Presidential memcons","This is the central Paris summit record. Prioritize the plenary memcons, final communique and declaration material, and McCormack's July 10 transmittal. The First Plenary is already represented by a released canonical candidate and must not be duplicated.","Ten sheets describe 51 pages, including four plenary memcon entries totaling 29 pages. The 8-page First Plenary copy is released in part in this PDF and matches the existing released candidate; two identically described 6-page Second Plenary entries require copy comparison.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","131","55489680","55489680","HTTP Content-Length","Restricted - Possibly","148051","0","1","5","0","10","425","129","148","106","4","20","10","8","10","51","1","9","","[{""itemNumber"":""01"",""type"":""Memcon"",""title"":""Memorandum of Conversation, Re: First Plenary Session, Paris Economic Summit."",""date"":""07/15/89"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":8,""sheetDisposition"":""Released in part; copy follows in this PDF"",""canonicalMatch"":""Released First Plenary memcon already represented by presidential-428080101 (NARA NAID 428080101)""},{""itemNumber"":""02"",""type"":""Memcon"",""title"":""Memorandum of Conversation, Re: Second Plenary Session, Economic Summit."",""date"":""07/15/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03a"",""type"":""Letter"",""title"":""Informal Translation of Gorbachev Letter."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""03b"",""type"":""Letter"",""title"":""From Mikhail Gorbachev [French language]."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":5,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""04"",""type"":""Memcon"",""title"":""Memorandum of Conversation, Re: Plenary Session, Paris Economic Summit."",""date"":""07/15/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":9,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""05"",""type"":""Memcon"",""title"":""Memorandum of Conversation, Re: Second Plenary Session, Paris Economic Summit."",""date"":""07/15/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""06"",""type"":""Paper"",""title"":""Draft Declaration on East-West Relations with marginalia."",""date"":""07/12/89"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":4,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""07"",""type"":""Talking Points"",""title"":""Points to Be Made at July 14 Working Dinner."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""11"",""type"":""Report"",""title"":""Readout on Sherpa Working Dinner."",""date"":""07/13/89"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""15a"",""type"":""Memo"",""title"":""Richard T. McCormack to Secretaries Baker, Brady, and Scowcroft, Re: Final Draft Communique and Political Statements for Paris Economic Summit, and Report of Rambouillet Sherpa Meeting."",""date"":""07/10/89"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":4,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–010, [Paris Economic Summit July 1989].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–010, [Paris Economic Summit July 1989].","https://catalog.archives.gov/id/452050396","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-010.pdf"
"452050397","1989-07-01","1989-07-31","July 1989","Folder-title month; first-of-month value is a sorting key only","[The President's Visit to Hungary 7/89]","CF00186-011","Transition Economies and International Economic Strategy","Selective review","Hungary; Presidential visit; Transition economy; Public diplomacy","Review as a compact companion to the Hungary briefing book and speech-card file. Promote only unique presidential guidance or economic-reform language after comparison with the larger trip files and the regional volume.","No withdrawal/redaction sheets were identified across 9 served-PDF pages.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","9","3687614","3687614","HTTP Content-Length","Restricted - Possibly","11274","0","0","0","0","0","8","7","0","1","0","0","0","0","0","0","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–011, [The President's Visit to Hungary 7/89].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–011, [The President's Visit to Hungary 7/89].","https://catalog.archives.gov/id/452050397","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-011.pdf"
"452050398","1989-07-01","1989-07-31","July 1989","Folder-title month; first-of-month value is a sorting key only","[The President's Visit to Poland 7/89]","CF00186-012","Transition Economies and International Economic Strategy","Selective review","Poland; Presidential visit; Transition economy; Economic reform","Use as a companion copy set for the Poland trip. The larger presidential briefing book should normally control; retain unique released passages or source evidence and route duplicate speech material to the regional volume.","Four sheets describe 8 pages; two 2-page government reports are marked released in part with copies following.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","56","23965093","23965092","HTTP Content-Length","Restricted - Possibly","77279","0","0","0","0","4","204","54","92","49","0","4","3","2","4","8","2","2","","[{""itemNumber"":""09"",""type"":""Report"",""title"":""Government Report"",""date"":""06/16/89"",""restriction"":""(b)(1); (b)(3)"",""classification"":""Secret"",""pages"":2,""sheetDisposition"":""Released in part; copy follows in this PDF""},{""itemNumber"":""10"",""type"":""Report"",""title"":""Government Report"",""date"":""06/16/89"",""restriction"":""(b)(1); (b)(3)"",""classification"":""Secret"",""pages"":2,""sheetDisposition"":""Released in part; copy follows in this PDF""},{""itemNumber"":""03"",""type"":""Report"",""title"":""Government Report"",""date"":""06/16/89"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""},{""itemNumber"":""04"",""type"":""Report"",""title"":""Government Report"",""date"":""06/16/89"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""sheetDisposition"":""No released copy indicated on the sheet""}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–012, [The President's Visit to Poland 7/89].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–012, [The President's Visit to Poland 7/89].","https://catalog.archives.gov/id/452050398","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-012.pdf"
"452050402","1989-07-01","1989-07-31","July 1989","Folder-title month; first-of-month value is a sorting key only","[Speech / Briefing Cards: President's Trip to Poland 7/89]","CF00186-016","Transition Economies and International Economic Strategy","Selective review","Poland; Presidential briefing cards; Economic assistance; Debt; Transition economy","Screen the presidential cards for final U.S. guidance on Polish reform, debt, aid, and international financial institutions. Compare them against CF00186-004, CF00186-012, and the regional compilation before choosing a controlling copy.","No withdrawal/redaction sheets were identified across 28 served-PDF pages.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","28","12146334","12146334","HTTP Content-Length","Restricted - Possibly","33626","0","0","0","0","0","112","46","39","19","4","3","1","0","0","0","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–016, [Speech / Briefing Cards: President's Trip to Poland 7/89].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–016, [Speech / Briefing Cards: President's Trip to Poland 7/89].","https://catalog.archives.gov/id/452050402","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-016.pdf"
"452050403","1989-07-01","1989-07-31","July 1989","Folder-title month; first-of-month value is a sorting key only","[Speech / Briefing Cards: President's Trip to Hungary 7/89]","CF00186-017","Transition Economies and International Economic Strategy","Selective review","Hungary; Presidential briefing cards; Economic reform; Debt; Transition economy","Screen for final presidential guidance on Hungarian reform, debt, and Western assistance. Deduplicate against CF00186-006, CF00186-011, and the regional volume before item-level promotion.","No withdrawal/redaction sheets were identified across 20 served-PDF pages.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","20","7986283","7986283","Catalog objectFileSize","Restricted - Possibly","22211","0","0","0","0","0","46","18","12","14","1","0","1","0","0","0","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–017, [Speech / Briefing Cards: President's Trip to Hungary 7/89].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00186–017, [Speech / Briefing Cards: President's Trip to Hungary 7/89].","https://catalog.archives.gov/id/452050403","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal-reiss/deal-reiss_eco_sum_2554819/41-bpr-nsc-deal-reiss-eco_sum-cf00186-017.pdf"
