"id","date","displayDateLabel","datePrecision","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","withheldPages","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","archivalLocator","topics","notes","withdrawalMetadataNote","withdrawalInventory","catalogUrl","pdfUrl"
"deal-summit-452050637","1990-01-05","January 5-7, 1990","range","Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [1]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [1]","January 5-7, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Online file unit; item audit pending","82","0","82 served-PDF pages; no withdrawal sheets identified; No withdrawal sheets were identified in the complete OCR review.","Mixed; document-level audit required","452050637","CF00960–001","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–001, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [1].","Houston Economic Summit; First Sherpa meeting; Summit agenda; Transition economies; International debt","Direct Volume XXX review. Read for the initial U.S. agenda-setting record. The first Key West book frames possible new summit topics, including market reform in Communist states, structural reform in developing countries, debt, and the post-Paris economic agenda. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[]","https://catalog.archives.gov/id/452050637","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-001.pdf"
"deal-summit-452050638","1990-01-05","January 5-7, 1990","range","Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [2]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [2]","January 5-7, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","55","62","55 served-PDF pages; 1 separately described withdrawn item totaling 62 pages; The withdrawal inventory identifies a 62-page Confidential EPC/EDRC report dated October 4, 1989 on structural-reform country assessments.","Mixed; document-level audit required","452050638","CF00960–002","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–002, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [2].","Houston Economic Summit; First Sherpa meeting; Macroeconomic coordination; Structural reform; Trade","Direct Volume XXX review. Use with the first Key West volume to reconstruct the opening Houston agenda. The book reviews external adjustment, trade, debt, agriculture, environment, and implementation of the Paris communique. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[{""itemNumber"":""03"",""type"":""Report"",""title"":""Economic Policy Committee--Economic and Development Review Committee: Progress in Structural Reform--Country Assessments."",""date"":""10/04/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":62,""item"":""03""}]","https://catalog.archives.gov/id/452050638","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-002.pdf"
"deal-summit-452050639","1990-03-22","March 22-25, 1990","range","Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [1]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [1]","March 22-25, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","122","14","122 served-PDF pages; 4 separately described withdrawn items totaling 14 pages; Four withdrawn items total 14 pages and include COCOM, Eastern Europe, and G-24 assistance tables for Poland and Hungary.","Mixed; document-level audit required","452050639","CF00960–003","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–003, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [1].","Houston Economic Summit; Second Sherpa meeting; COCOM; Eastern Europe; Poland and Hungary assistance","Direct Volume XXX review. The first San Francisco book records the second Sherpa agenda and U.S. papers on the global economy, East-West economic issues, developing countries, trade and investment, international monetary coordination, and the EBRD. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[{""itemNumber"":""26"",""type"":""Paper"",""title"":""Re: COCOM [Coordinating Committee for Multilateral Export Controls]."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3,""item"":""26""},{""itemNumber"":""28"",""type"":""Report"",""title"":""Re: Eastern Europe."",""date"":""02/06/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":6,""item"":""28""},{""itemNumber"":""29"",""type"":""Table"",""title"":""Re: G-24 Assistance for Poland Since Paris Summit."",""date"":""02/02/90"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3,""item"":""29""},{""itemNumber"":""30"",""type"":""Table"",""title"":""Re: G-24 Assistance for Hungary Since Paris Summit."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":2,""item"":""30""}]","https://catalog.archives.gov/id/452050639","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-003.pdf"
"deal-summit-452050640","1990-03-22","March 22-25, 1990","range","Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [2]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [2]","March 22-25, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","110","30","110 served-PDF pages; 7 separately described withdrawn items totaling 30 pages; Seven withdrawn items total 30 pages, including a February 16 Houston Summit report and Secret papers on Germany, the Soviet Union, and East Germany.","Mixed; document-level audit required","452050640","CF00960–004","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–004, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [2].","Houston Economic Summit; Second Sherpa meeting; International debt; German unification; Development assistance","Direct Volume XXX review. The second San Francisco book concentrates on third-world debt, development assistance, Germany and the Soviet Union, and supporting background for the Houston negotiations. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[{""itemNumber"":""07"",""type"":""Memo"",""title"":""A. Peter Burleigh to Mr. McCormick [sic] and Mr. Zoellick, Re: Germany and the USSR: Present and Future Partners."",""date"":""03/02/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":3,""item"":""07""},{""itemNumber"":""12"",""type"":""Paper"",""title"":""Background Information [for Houston Economic Summit Sherpa meeting]."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""item"":""12""},{""itemNumber"":""13"",""type"":""Report"",""title"":""Re: Houston Economic Summit."",""date"":""02/16/90"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""item"":""13""},{""itemNumber"":""14"",""type"":""Report"",""title"":""Re: West/ East Germany."",""date"":""03/15/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":7,""item"":""14""},{""itemNumber"":""17"",""type"":""Paper"",""title"":""Background: Forgiveness of the Canadian Official Development Assistance Debts of Commonwealth Caribbean Countries."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""item"":""17""},{""itemNumber"":""18"",""type"":""Paper"",""title"":""Background: Forgiveness of the Canadian Official Development Assistance Debts of Commonwealth Caribbean Countries."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""item"":""18""},{""itemNumber"":""22"",""type"":""Notes"",""title"":""Handwritten notes, Re: EE."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""22""}]","https://catalog.archives.gov/id/452050640","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-004.pdf"
"deal-summit-452050641","1990-06-15","June 15-17, 1990","range","Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [1]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [1]","June 15-17, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","123","18","123 served-PDF pages; 4 separately described withdrawn items totaling 18 pages; Four withdrawn items total 18 pages, led by the 12-page thematic paper on international trade and investment and a 3-page multilateral-trading-system paper.","Mixed; document-level audit required","452050641","CF00960–005","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–005, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [1].","Houston Economic Summit; Fourth Sherpa meeting; Multilateral trading system; Trade and investment; Soviet economy","Direct Volume XXX review. The first Newport book captures late-stage Sherpa drafting on the trading system, investment, East-West economic relations, the Soviet Union, developing-country debt, energy, and the summit thematic paper. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: The Multilateral Trading System."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""item"":""01""},{""itemNumber"":""02"",""type"":""Paper"",""title"":""Annex A: Precursor and Essential Chemicals."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""02""},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Thematic Paper: International Trade and Investment."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":12,""item"":""04""},{""itemNumber"":""07b"",""type"":""Paper"",""title"":""G-7 Terrorism Experts Proposal to Improve the Coordination of Aviation Security Assistance Programs."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1,""item"":""07b""}]","https://catalog.archives.gov/id/452050641","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-005.pdf"
"deal-summit-452050642","1990-06-15","June 15-17, 1990","range","Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [2]","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [2]","June 15-17, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Online file unit; item audit pending","102","0","102 served-PDF pages; no withdrawal sheets identified; No withdrawal sheets were identified in the complete OCR review.","Mixed; document-level audit required","452050642","CF00960–006","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–006, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [2].","Houston Economic Summit; Fourth Sherpa meeting; U.S.-EC relations; Trade; Economic coordination","Direct Volume XXX review. Read as the companion Newport volume for U.S.-EC economic relations, country positions, and the final negotiation path into Houston. Compare repeated briefing papers against the first Newport volume before selecting a controlling copy. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[]","https://catalog.archives.gov/id/452050642","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-006.pdf"
"deal-summit-452050643","1990-07-09","July 9-11, 1990","range","Houston [Economic] Summit: President's Background Book—July 1990","Timothy E. Deal Summit Briefing Book File: Houston [Economic] Summit: President's Background Book—July 1990","July 9-11, 1990","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","76","12","76 served-PDF pages; 7 separately described withdrawn items totaling 12 pages; Seven withdrawn items total 12 pages; the foreign-economic withdrawal is a 2-page Secret paper on the Soviet Union.","Mixed; document-level audit required","452050643","CF00960–007","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–007, Houston [Economic] Summit: President's Background Book—July 1990.","Houston Economic Summit; President's background book; International trade; International debt; Soviet economy","Direct Volume XXX review. This presidential background book assembles the White House issue papers and country papers for Houston. Prioritize final issue papers that show what reached the President, while checking them against the separate Houston Subject Files for duplicate copies. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","","[{""itemNumber"":""19"",""type"":""Paper"",""title"":""Soviet Union."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""item"":""19""},{""itemNumber"":""25"",""type"":""Paper"",""title"":""Libya, Iran, and Iraq."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""item"":""25""},{""itemNumber"":""26"",""type"":""Talking points"",""title"":""Points to Be Made on Libya, Iran, and Iraq."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1,""item"":""26""},{""itemNumber"":""27"",""type"":""Paper"",""title"":""Regional Conflicts."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""item"":""27""},{""itemNumber"":""28"",""type"":""Talking points"",""title"":""Points to Be Made on Regional Conflicts."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""item"":""28""},{""itemNumber"":""37"",""type"":""Paper"",""title"":""Terrorism."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2,""item"":""37""},{""itemNumber"":""38"",""type"":""Talking points"",""title"":""Points to Be Made On Terrorism."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1,""item"":""38""}]","https://catalog.archives.gov/id/452050643","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-007.pdf"
"deal-summit-452050644","1991-06-07","June 7-9, 1991","range","London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [1 of 3]","Timothy E. Deal Summit Briefing Book File: London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [1 of 3]","June 7-9, 1991","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","65","24","65 served-PDF pages; 9 separately described withdrawn items totaling 24 pages; Nine withdrawn items total 24 pages, including Soviet economic issues and nuclear-safety cooperation with Eastern Europe.","Mixed; document-level audit required","452050644","CF00960–008","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–008, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [1 of 3].","London Economic Summit; Third Sherpa meeting; Soviet economic issues; Energy; Nuclear safety","Direct Volume XXX review. The first third-Sherpa book is a strong transition-economy and energy file. It combines released U.S. briefing papers with exact inventories for Soviet economic issues, nuclear power, and energy-producer coordination. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: Soviet Economic Issues"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""item"":""01""},{""itemNumber"":""02"",""type"":""Letter"",""title"":""From Nigel Wicks to all Sherpa Colleagues"",""date"":""5/31/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1,""item"":""02""},{""itemNumber"":""03"",""type"":""Paper"",""title"":""Re: G7 Economic Summit - Drugs Initiative"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""03""},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Re: [1991 IEA Communique] [ only]"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1,""item"":""04""},{""itemNumber"":""05"",""type"":""Cable"",""title"":""061017Z JUN 91"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1,""item"":""05""},{""itemNumber"":""06"",""type"":""Paper"",""title"":""Re: Economic Summit - Japanese Proposal on Nuclear Energy"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1,""item"":""06""},{""itemNumber"":""07"",""type"":""Paper"",""title"":""Re: A Proposal for the London Summit (Nuclear Power)"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""07""},{""itemNumber"":""08"",""type"":""Message"",""title"":""Re: Nuclear Safety Cooperation with Eastern Europe"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""item"":""08""},{""itemNumber"":""09"",""type"":""Message"",""title"":""Re: Broad-Based Wariness on Producer/Consumer at IEA Ministerial"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":4,""item"":""09""}]","https://catalog.archives.gov/id/452050644","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-008.pdf"
"deal-summit-452050645","1991-06-07","June 7-9, 1991","range","London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [2 of 3]","Timothy E. Deal Summit Briefing Book File: London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [2 of 3]","June 7-9, 1991","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","67","18","67 served-PDF pages; 6 separately described withdrawn items totaling 18 pages; Six withdrawn items total 18 pages, including the Italian migration proposal and Canadian and British environmental papers.","Mixed; document-level audit required","452050645","CF00960–009","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–009, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [2 of 3].","London Economic Summit; Third Sherpa meeting; International monetary policy; Environment; Migration","Direct Volume XXX review. The second third-Sherpa book carries Treasury material on monetary developments and coordination, alongside environmental and migration proposals. Select only decision-shaping papers rather than every national proposal. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: Italian Proposal on Migration"",""date"":""5/29/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6,""item"":""01""},{""itemNumber"":""02"",""type"":""Letter"",""title"":""To Nigel Wicks"",""date"":""5/24/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""02""},{""itemNumber"":""03"",""type"":""Paper"",""title"":""Re: UK Paper - Environmental Disasters: Stronger International Capacity"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2,""item"":""03""},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Re: Improving International Response to Environmental Emergencies A Canadian Perspective"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3,""item"":""04""},{""itemNumber"":""05"",""type"":""Paper"",""title"":""Re: Proposal: Canadian Perspective on Oceans"",""date"":""4/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":4,""item"":""05""},{""itemNumber"":""06"",""type"":""List"",""title"":""Distribution"",""date"":""4/11/91"",""restriction"":""(b)(3)"",""classification"":""Not stated"",""pages"":1,""item"":""06""}]","https://catalog.archives.gov/id/452050645","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-009.pdf"
"deal-summit-452050646","1991-06-07","June 7-9, 1991","range","London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [3 of 3]","Timothy E. Deal Summit Briefing Book File: London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [3 of 3]","June 7-9, 1991","Timothy E. Deal summit briefing-book file","Economic Summits and Industrialized-Country Cooperation","Core","Partly released","50","9","50 served-PDF pages; 3 separately described withdrawn items totaling 9 pages; Three withdrawal entries total 9 physical pages: a 3-page G-7 outlook and two 3-page descriptions of a June 5 Major message.","Mixed; document-level audit required","452050646","CF00960–010","locator","Opening provenance marker, all served-PDF pages, and individual withdrawal sheets checked; file-unit locator only pending document boundaries, terminal markings, release status, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–010, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [3 of 3].","London Economic Summit; Third Sherpa meeting; G-7 economic outlook; Debt-for-nature swaps; Prime Minister John Major","Direct Volume XXX review. The third third-Sherpa book contains debt-for-nature, economic-outlook, and other concluding material. The two identically described Major-to-Bush messages must be treated as possible duplicate copies until the originals can be compared. This is a file-level lead, not a document-level inclusion claim. Compare possible controlling copies against the Deal Subject Files and Deal-Reiss Economic Summit Files before promotion.","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: G-7: Economic Outlook"",""date"":""5/29/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3,""item"":""01""},{""itemNumber"":""02"",""type"":""Message"",""title"":""From Prime Minister Major to POTUS"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3,""item"":""02""},{""itemNumber"":""03"",""type"":""Message"",""title"":""From Prime Minister Major to POTUS"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3,""item"":""03""}]","https://catalog.archives.gov/id/452050646","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-010.pdf"
