"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","markerSeries","markerSubseries","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","ocrCharacterCount","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","withheldItemCount","withheldPages","withdrawalMetadataNote","withdrawalInventory","archivalLocator","provenanceStem","catalogUrl","pdfUrl"
"452050637","1990-01-05","1990-01-07","January 5-7, 1990","Briefing-book cover event dates","Houston [Economic] Summit: First Sherpa Meeting - Briefing Book (Key West) January 1990 [1]","CF00960-001","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; First Sherpa meeting; Summit agenda; Transition economies; International debt","Read for the initial U.S. agenda-setting record. The first Key West book frames possible new summit topics, including market reform in Communist states, structural reform in developing countries, debt, and the post-Paris economic agenda.","No withdrawal sheets were identified in the complete OCR review.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","82","43718043","43718044","HTTP Content-Length","Restricted - Possibly","156780","0","0","0","0","0","396","98","45","109","11","108","24","1","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–001, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [1].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–001, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [1].","https://catalog.archives.gov/id/452050637","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-001.pdf"
"452050638","1990-01-05","1990-01-07","January 5-7, 1990","Briefing-book cover event dates","Houston [Economic] Summit: First Sherpa Meeting - Briefing Book (Key West) January 1990 [2]","CF00960-002","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; First Sherpa meeting; Macroeconomic coordination; Structural reform; Trade","Use with the first Key West volume to reconstruct the opening Houston agenda. The book reviews external adjustment, trade, debt, agriculture, environment, and implementation of the Paris communique.","The withdrawal inventory identifies a 62-page Confidential EPC/EDRC report dated October 4, 1989 on structural-reform country assessments.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","55","29104101","29104100","HTTP Content-Length","Restricted - Possibly","98814","0","0","0","0","1","262","54","129","61","6","2","2","8","1","62","","[{""itemNumber"":""03"",""type"":""Report"",""title"":""Economic Policy Committee--Economic and Development Review Committee: Progress in Structural Reform--Country Assessments."",""date"":""10/04/89"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":62}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–002, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [2].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–002, Houston [Economic] Summit: First Sherpa Meeting—Briefing Book (Key West) January 1990 [2].","https://catalog.archives.gov/id/452050638","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-002.pdf"
"452050639","1990-03-22","1990-03-25","March 22-25, 1990","Briefing-book cover event dates","Houston [Economic] Summit: Second Sherpa Meeting - Briefing Book (San Francisco) March 1990 [1]","CF00960-003","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; Second Sherpa meeting; COCOM; Eastern Europe; Poland and Hungary assistance","The first San Francisco book records the second Sherpa agenda and U.S. papers on the global economy, East-West economic issues, developing countries, trade and investment, international monetary coordination, and the EBRD.","Four withdrawn items total 14 pages and include COCOM, Eastern Europe, and G-24 assistance tables for Poland and Hungary.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","122","61955168","61955168","HTTP Content-Length","Restricted - Possibly","214374","0","0","0","0","4","842","233","167","362","13","3","56","8","4","14","","[{""itemNumber"":""26"",""type"":""Paper"",""title"":""Re: COCOM [Coordinating Committee for Multilateral Export Controls]."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3},{""itemNumber"":""28"",""type"":""Report"",""title"":""Re: Eastern Europe."",""date"":""02/06/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":6},{""itemNumber"":""29"",""type"":""Table"",""title"":""Re: G-24 Assistance for Poland Since Paris Summit."",""date"":""02/02/90"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3},{""itemNumber"":""30"",""type"":""Table"",""title"":""Re: G-24 Assistance for Hungary Since Paris Summit."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":2}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–003, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [1].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–003, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [1].","https://catalog.archives.gov/id/452050639","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-003.pdf"
"452050640","1990-03-22","1990-03-25","March 22-25, 1990","Briefing-book cover event dates","Houston [Economic] Summit: Second Sherpa Meeting - Briefing Book (San Francisco) March 1990 [2]","CF00960-004","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; Second Sherpa meeting; International debt; German unification; Development assistance","The second San Francisco book concentrates on third-world debt, development assistance, Germany and the Soviet Union, and supporting background for the Houston negotiations.","Seven withdrawn items total 30 pages, including a February 16 Houston Summit report and Secret papers on Germany, the Soviet Union, and East Germany.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","110","52992876","52992876","HTTP Content-Length","Restricted - Possibly","180385","0","0","0","0","7","561","168","200","121","29","6","16","21","7","30","","[{""itemNumber"":""07"",""type"":""Memo"",""title"":""A. Peter Burleigh to Mr. McCormick [sic] and Mr. Zoellick, Re: Germany and the USSR: Present and Future Partners."",""date"":""03/02/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":3},{""itemNumber"":""12"",""type"":""Paper"",""title"":""Background Information [for Houston Economic Summit Sherpa meeting]."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6},{""itemNumber"":""13"",""type"":""Report"",""title"":""Re: Houston Economic Summit."",""date"":""02/16/90"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6},{""itemNumber"":""14"",""type"":""Report"",""title"":""Re: West/ East Germany."",""date"":""03/15/90"",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":7},{""itemNumber"":""17"",""type"":""Paper"",""title"":""Background: Forgiveness of the Canadian Official Development Assistance Debts of Commonwealth Caribbean Countries."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3},{""itemNumber"":""18"",""type"":""Paper"",""title"":""Background: Forgiveness of the Canadian Official Development Assistance Debts of Commonwealth Caribbean Countries."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3},{""itemNumber"":""22"",""type"":""Notes"",""title"":""Handwritten notes, Re: EE."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–004, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [2].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–004, Houston [Economic] Summit: Second Sherpa Meeting—Briefing Book (San Francisco) March 1990 [2].","https://catalog.archives.gov/id/452050640","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-004.pdf"
"452050641","1990-06-15","1990-06-17","June 15-17, 1990","Briefing-book cover event dates","Houston [Economic] Summit: Fourth Sherpa Meeting - Briefing Book (Newport) June 1990 [1]","CF00960-005","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; Fourth Sherpa meeting; Multilateral trading system; Trade and investment; Soviet economy","The first Newport book captures late-stage Sherpa drafting on the trading system, investment, East-West economic relations, the Soviet Union, developing-country debt, energy, and the summit thematic paper.","Four withdrawn items total 18 pages, led by the 12-page thematic paper on international trade and investment and a 3-page multilateral-trading-system paper.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","123","55534158","55534160","HTTP Content-Length","Restricted - Possibly","162731","0","0","0","0","4","741","228","183","195","25","88","15","7","4","18","","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: The Multilateral Trading System."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3},{""itemNumber"":""02"",""type"":""Paper"",""title"":""Annex A: Precursor and Essential Chemicals."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Thematic Paper: International Trade and Investment."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":12},{""itemNumber"":""07b"",""type"":""Paper"",""title"":""G-7 Terrorism Experts Proposal to Improve the Coordination of Aviation Security Assistance Programs."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–005, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [1].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–005, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [1].","https://catalog.archives.gov/id/452050641","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-005.pdf"
"452050642","1990-06-15","1990-06-17","June 15-17, 1990","Briefing-book cover event dates","Houston [Economic] Summit: Fourth Sherpa Meeting - Briefing Book (Newport) June 1990 [2]","CF00960-006","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; Fourth Sherpa meeting; U.S.-EC relations; Trade; Economic coordination","Read as the companion Newport volume for U.S.-EC economic relations, country positions, and the final negotiation path into Houston. Compare repeated briefing papers against the first Newport volume before selecting a controlling copy.","No withdrawal sheets were identified in the complete OCR review.","verified","Deal, Timothy E., Files","Summit Briefing Books","true","102","43550199","43550200","HTTP Content-Length","Restricted - Possibly","93625","0","0","0","0","0","344","86","90","143","5","12","5","3","0","0","","[]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–006, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [2].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books, OA/ID CF00960–006, Houston [Economic] Summit: Fourth Sherpa Meeting—Briefing Book (Newport) June 1990 [2].","https://catalog.archives.gov/id/452050642","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-006.pdf"
"452050643","1990-07-09","1990-07-11","July 9-11, 1990","Briefing-book cover event dates","Houston [Economic] Summit: President's Background Book - July 1990","CF00960-007","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Houston Economic Summit; President's background book; International trade; International debt; Soviet economy","This presidential background book assembles the White House issue papers and country papers for Houston. Prioritize final issue papers that show what reached the President, while checking them against the separate Houston Subject Files for duplicate copies.","Seven withdrawn items total 12 pages; the foreign-economic withdrawal is a 2-page Secret paper on the Soviet Union.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","76","38768566","38768568","HTTP Content-Length","Restricted - Possibly","130583","0","0","0","0","7","518","144","145","167","23","9","30","0","7","12","","[{""itemNumber"":""19"",""type"":""Paper"",""title"":""Soviet Union."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2},{""itemNumber"":""25"",""type"":""Paper"",""title"":""Libya, Iran, and Iraq."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2},{""itemNumber"":""26"",""type"":""Talking points"",""title"":""Points to Be Made on Libya, Iran, and Iraq."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1},{""itemNumber"":""27"",""type"":""Paper"",""title"":""Regional Conflicts."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2},{""itemNumber"":""28"",""type"":""Talking points"",""title"":""Points to Be Made on Regional Conflicts."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2},{""itemNumber"":""37"",""type"":""Paper"",""title"":""Terrorism."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":2},{""itemNumber"":""38"",""type"":""Talking points"",""title"":""Points to Be Made On Terrorism."",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Secret"",""pages"":1}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–007, Houston [Economic] Summit: President's Background Book—July 1990.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–007, Houston [Economic] Summit: President's Background Book—July 1990.","https://catalog.archives.gov/id/452050643","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-007.pdf"
"452050644","1991-06-07","1991-06-09","June 7-9, 1991","Briefing-book cover event dates","London [Economic] Summit: Third Sherpa Meeting - Briefing Book (London) June 1991 [1 of 3]","CF00960-008","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","London Economic Summit; Third Sherpa meeting; Soviet economic issues; Energy; Nuclear safety","The first third-Sherpa book is a strong transition-economy and energy file. It combines released U.S. briefing papers with exact inventories for Soviet economic issues, nuclear power, and energy-producer coordination.","Nine withdrawn items total 24 pages, including Soviet economic issues and nuclear-safety cooperation with Eastern Europe.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","65","30687055","30687056","HTTP Content-Length","Restricted - Possibly","99241","0","0","0","0","10","399","77","128","74","29","75","6","10","9","24","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: Soviet Economic Issues"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6},{""itemNumber"":""02"",""type"":""Letter"",""title"":""From Nigel Wicks to all Sherpa Colleagues"",""date"":""5/31/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1},{""itemNumber"":""03"",""type"":""Paper"",""title"":""Re: G7 Economic Summit - Drugs Initiative"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Re: [1991 IEA Communique] [ only]"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1},{""itemNumber"":""05"",""type"":""Cable"",""title"":""061017Z JUN 91"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":1},{""itemNumber"":""06"",""type"":""Paper"",""title"":""Re: Economic Summit - Japanese Proposal on Nuclear Energy"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":1},{""itemNumber"":""07"",""type"":""Paper"",""title"":""Re: A Proposal for the London Summit (Nuclear Power)"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2},{""itemNumber"":""08"",""type"":""Message"",""title"":""Re: Nuclear Safety Cooperation with Eastern Europe"",""date"":""6/6/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6},{""itemNumber"":""09"",""type"":""Message"",""title"":""Re: Broad-Based Wariness on Producer/Consumer at IEA Ministerial"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":4}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–008, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [1 of 3].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–008, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [1 of 3].","https://catalog.archives.gov/id/452050644","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-008.pdf"
"452050645","1991-06-07","1991-06-09","June 7-9, 1991","Briefing-book cover event dates","London [Economic] Summit: Third Sherpa Meeting - Briefing Book (London) June 1991 [2 of 3]","CF00960-009","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","London Economic Summit; Third Sherpa meeting; International monetary policy; Environment; Migration","The second third-Sherpa book carries Treasury material on monetary developments and coordination, alongside environmental and migration proposals. Select only decision-shaping papers rather than every national proposal.","Six withdrawn items total 18 pages, including the Italian migration proposal and Canadian and British environmental papers.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","67","32257236","32257236","HTTP Content-Length","Restricted - Possibly","89606","0","0","0","0","7","236","55","25","82","1","59","8","6","6","18","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: Italian Proposal on Migration"",""date"":""5/29/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":6},{""itemNumber"":""02"",""type"":""Letter"",""title"":""To Nigel Wicks"",""date"":""5/24/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2},{""itemNumber"":""03"",""type"":""Paper"",""title"":""Re: UK Paper - Environmental Disasters: Stronger International Capacity"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":2},{""itemNumber"":""04"",""type"":""Paper"",""title"":""Re: Improving International Response to Environmental Emergencies A Canadian Perspective"",""date"":""n.d."",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":3},{""itemNumber"":""05"",""type"":""Paper"",""title"":""Re: Proposal: Canadian Perspective on Oceans"",""date"":""4/91"",""restriction"":""(b)(1)"",""classification"":""Not stated"",""pages"":4},{""itemNumber"":""06"",""type"":""List"",""title"":""Distribution"",""date"":""4/11/91"",""restriction"":""(b)(3)"",""classification"":""Not stated"",""pages"":1}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–009, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [2 of 3].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–009, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [2 of 3].","https://catalog.archives.gov/id/452050645","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-009.pdf"
"452050646","1991-06-07","1991-06-09","June 7-9, 1991","Briefing-book cover event dates","London [Economic] Summit: Third Sherpa Meeting - Briefing Book (London) June 1991 [3 of 3]","CF00960-010","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","London Economic Summit; Third Sherpa meeting; G-7 economic outlook; Debt-for-nature swaps; Prime Minister John Major","The third third-Sherpa book contains debt-for-nature, economic-outlook, and other concluding material. The two identically described Major-to-Bush messages must be treated as possible duplicate copies until the originals can be compared.","Three withdrawal entries total 9 physical pages: a 3-page G-7 outlook and two 3-page descriptions of a June 5 Major message.","verified","Deal, Timothy E., Files","Summit Briefing Books Files","true","50","23675913","23675912","HTTP Content-Length","Restricted - Possibly","61044","0","0","0","0","4","168","36","69","34","6","13","2","8","3","9","The opening marker identifies Timothy E. Deal Files, Summit Briefing Books Files. Later withdrawal sheets instead label the subseries Subject Files. The opening marker controls this file-level locator.","[{""itemNumber"":""01"",""type"":""Paper"",""title"":""Re: G-7: Economic Outlook"",""date"":""5/29/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3},{""itemNumber"":""02"",""type"":""Message"",""title"":""From Prime Minister Major to POTUS"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3},{""itemNumber"":""03"",""type"":""Message"",""title"":""From Prime Minister Major to POTUS"",""date"":""6/5/91"",""restriction"":""(b)(1)"",""classification"":""Confidential"",""pages"":3}]","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–010, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [3 of 3].","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Summit Briefing Books Files, OA/ID CF00960–010, London [Economic] Summit: Third Sherpa Meeting—Briefing Book (London) June 1991 [3 of 3].","https://catalog.archives.gov/id/452050646","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/summit_brief_books_2554817/41-bpr-nsc-deal-sumit_bref_bks-cf00960-010.pdf"
