"id","item","date","sortDate","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","sourceNote","topics","notes","catalogUrl","pdfUrl"
"gates-470437043-08c","08c","1990-08-30","1990-08-30T00:00:01","Approach to Financing and Economic Assistance for Countries Seriously Affected by the Gulf Crisis","Talking Points on Financing and Economic Assistance for Countries Seriously Affected by the Gulf Crisis","Washington, August 30, 1990","Talking points","Monetary Policy, Debt, and International Institutions","Consider","Released","8","8 released document pages; PDF pages 84-91","No classification marking","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. No classification marking.","Persian Gulf crisis; Economic assistance; Burden sharing; Front-line states","The first page is marked 'ORIGINAL 8/30.' The folder also contains an undated annotated draft at PDF pages 68-75 and a second August 30 version at pages 76-83. This original is the retained chronology candidate; the other two remain in the version ledger.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-unlisted-egypt-debt","Unlisted A","1990-08-30","1990-08-30T00:00:02","Forgiveness of Egypt's FMS Debt","Paper Transmitted by Deputy Secretary of the Treasury Robson to Robert Howard of the National Security Council Staff","Washington, August 30, 1990","Paper with transmittal","Monetary Policy, Debt, and International Institutions","Core","Released","3","3 released document pages; PDF pages 92-94","No classification marking","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. No classification marking.","Egypt; Foreign Military Sales debt; Debt forgiveness; Treasury Department","The three-page set consists of Robson's Treasury fax cover, the call slip originally attached to it, and the one-page paper. It is not listed on the opening three-page withdrawal inventory, so the audit preserves it separately rather than forcing it into item 08c or 09.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-09","09","1990-08-30","1990-08-30T00:00:03","Financing Approach for Countries Seriously Affected by the Gulf Crisis","Discussion Paper on Financing Countries Seriously Affected by the Gulf Crisis","Washington, August 30, 1990","Discussion paper","Monetary Policy, Debt, and International Institutions","Core","Released","7","7 released document pages; PDF pages 95-101","No classification marking","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. No classification marking.","Persian Gulf crisis; Economic assistance; Debt; Burden sharing","The opening inventory marks this item released upon further review. It is distinct from the three talking-point versions at items 08a-08c and carries a handwritten August 30 date.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-07","07","1990-08-31","1990-08-31T00:00:01","Talking Points for Emissaries","Memorandum From Timothy E. Deal of the National Security Council Staff to Robert M. Gates","Washington, August 31, 1990","Memorandum","Monetary Policy, Debt, and International Institutions","Consider","Released","2","2 released document pages; PDF pages 66-67","Confidential","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Confidential.","Burden sharing; Economic assistance; Japan; Egyptian debt","A second released copy appears in Deal's Chron File: August 1990 [1], NAID 452050458, OA/ID CF00697-001. The Gates copy retains recipient annotations; both copies require comparison before the compiler chooses the controlling citation.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-06","06","1990-09-01","1990-09-01T00:00:01","Comments on Talking Points","Memorandum From Timothy E. Deal of the National Security Council Staff to Robert M. Gates","Washington, September 1, 1990","Memorandum","Monetary Policy, Debt, and International Institutions","Core","Released","2","2 released document pages; PDF pages 36-37","Confidential","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Confidential.","Burden sharing; Economic assistance; Jordan; Interagency coordination","Deal's Chron File: September 1990 [2], NAID 452050462, OA/ID CF00697-005, contains a two-page withdrawal description for the same memorandum but does not indicate that a released copy follows. This annotated Gates copy supplies the released text in the currently harvested corpus.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-05a","05a","1990-09-01","1990-09-01T00:00:02","Country Paper: Federal Republic of Germany","Paper Prepared in the Department of State","Washington, September 1, 1990","Country paper","Monetary Policy, Debt, and International Institutions","Consider","Released in part","4","4 released document pages; PDF pages 50-53","Secret","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Secret.","Federal Republic of Germany; Burden sharing; Eastern Europe; Persian Gulf crisis","The individual redaction sheet says that a partially declassified copy follows. The terminal drafting page identifies EUR/CE drafter J.F. Sammis and a September 1, 1990 drafting date; the document remains visibly redacted in part.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-05","05","1990-09-02","1990-09-02T00:00:01","Talking Points for Secretary Brady's Trip on Gulf Crisis Assistance: London","Talking Points Prepared for Secretary of State Baker and Secretary of the Treasury Brady","Washington, September 2, 1990","Talking points with attachments","Monetary Policy, Debt, and International Institutions","Consider","Released","17","17 released document pages; PDF pages 19-35","No classification marking","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. No classification marking.","United Kingdom; Economic assistance; Burden sharing; Persian Gulf crisis","The 17-page bundle contains Baker core talking points, Brady's London talking points, and a United Kingdom country paper. It is retained as one item because the opening inventory treats the full bundle as item 05.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-04","04","1990-09-03","1990-09-03T00:00:01","Economic Action Plan: Talking Points","Memorandum From Timothy E. Deal of the National Security Council Staff to Robert M. Gates","Washington, September 3, 1990","Memorandum","Monetary Policy, Debt, and International Institutions","Core","Released","2","2 released document pages; PDF pages 17-18","Confidential","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Confidential.","Economic action plan; Burden sharing; State Department; Treasury Department","A released copy also appears at PDF pages 48-49 of Deal's Chron File: September 1990 [2], NAID 452050462, OA/ID CF00697-005. The Gates-file copy carries additional recipient-file annotations and remains a comparison candidate, not a silent duplicate.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-01","01","1990-09-11","1990-09-11T00:00:01","Burden Sharing Mission to Europe and Asia","Memorandum From Secretary of the Treasury Brady to President Bush","Washington, September 11, 1990","Memorandum","Monetary Policy, Debt, and International Institutions","Core","Released","4","4 released document pages; PDF pages 5-8","Secret","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Secret.","Burden sharing; Europe; Japan; Persian Gulf crisis","Brady reports the results of his burden-sharing mission and recommends coordinated follow-up. No exact duplicate was identified in the NSC collections harvested for this workbench; a Treasury and Brady-file controlling-copy search remains open.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
"gates-470437043-02","02","1990-09-20","1990-09-20T00:00:01","Steering Group Meeting","Memorandum From Timothy E. Deal of the National Security Council Staff to Robert M. Gates","Washington, September 20, 1990","Memorandum","Monetary Policy, Debt, and International Institutions","Core","Released","2","2 released document pages; PDF pages 9-10","Confidential","470437043","CF00946–002","verified","Opening provenance marker, document boundaries, first and last document pages, and terminal classification marking checked in the official NARA PDF.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert M. Gates Files, Subject Files, OA/ID CF00946–002, Middle East - Economic Strategy [1]. Confidential.","Gulf Crisis Financial Coordination Group; IMF; World Bank; Burden sharing","Deal's Chron File: September 1990 [2], NAID 452050462, OA/ID CF00697-005, contains a two-page withdrawal description for this memorandum but does not indicate that a released copy follows. The Gates copy supplies the released text and recipient annotations.","https://catalog.archives.gov/id/470437043","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/gates/subject_2554843/41-bpr-nsc-gates-subj-cf00946-002.pdf"
