"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470760861","1986-01-01","1986-12-31","1986","Staff-manual cover year","National Security Council Staff Manual","99015-007","Series context and cross-volume routing","Series context","","","","verified","true","100","5305059","5305059","Catalog objectFileSize","Restricted - Possibly","13","0","1","0","3","32","12","2","7","1","2","3","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–007, National Security Council Staff Manual.","https://catalog.archives.gov/id/470760861","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-007.pdf"
"470760873","1988-10-17","1988-10-17","October 17, 1988","Dated covering memorandum","[Transition Planning: Significant Anniversary Dates and The First 100 Days of Previous Administrations] [1]","99016-010","Series context and cross-volume routing","Series context","","","","verified","true","121","5340816","5340816","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","172","65","27","20","12","17","19","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–010, [Transition Planning: Significant Anniversary Dates and The First 100 Days of Previous Administrations] [1].","https://catalog.archives.gov/id/470760873","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-010.pdf"
"470760874","1988-10-17","1988-10-17","October 17, 1988","Companion folder to dated transition-planning memorandum","[Transition Planning: Significant Anniversary Dates and The First 100 Days of Previous Administrations] [2]","99016-011","Series context and cross-volume routing","Series context","","","","verified","true","104","9327133","9327133","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","166","58","22","17","12","20","21","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99016–011, [Transition Planning: Significant Anniversary Dates and The First 100 Days of Previous Administrations] [2].","https://catalog.archives.gov/id/470760874","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99016-011.pdf"
"470760857","1988-11-01","1988-11-30","November 1988","Briefing-book cover month","Reagan-Bush Transition Briefing Book: National Security Activities","99015-003","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","Paris Economic Summit; Sherpa process; Toronto Economic Summit; Transition planning","The transition briefing book contains a four-page paper on the Economic Summits, a two-page chronology of preparations for the 1988 Toronto Summit, and a transition calendar extending into July 1989. The paper recommends early decisions about organization and U.S. objectives for the Paris Summit and records State-Treasury friction in the Sherpa process.","released copies of the 4-page Economic Summits paper and 2-page Toronto chronology are present; the master withdrawal sheet shows their former (b)(1) restrictions crossed out","verified","true","53","3696451","3696451","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","7","103","50","22","10","3","6","1","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–003, Reagan-Bush Transition Briefing Book: National Security Activities.","https://catalog.archives.gov/id/470760857","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-003.pdf"
"470760859","1988-11-01","1988-11-30","November 1988","Briefing-book cover month","Reagan-Bush Transition Briefing Book: NSC Policy Issues","99015-005","Trade Policy and Market Access","Volume XXX review","Uruguay Round; International debt; Paris Economic Summit; Trade Act of 1988; IMF; EC 1992; Japan; Technology and competitiveness","The six-page International Economic Affairs Directorate paper is a compact transition agenda for the incoming administration. It covers Paris Summit organization, Trade Act authorities, the Uruguay Round, Japan rice and semiconductors, Section 232 petitions, the EC meat-hormone dispute and 1992 single market, East-West credits, middle-income and African debt, IMF quotas, energy, and technology competitiveness.","the released 6-page International Economic Affairs Directorate paper is present and its former (b)(1) entry is crossed out; a separate 5-page International Programs/Technology Affairs paper remains represented by a (b)(1) withdrawal sheet","verified","true","28","2316752","2316752","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","13","116","21","51","21","13","7","3","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–005, Reagan-Bush Transition Briefing Book: NSC Policy Issues.","https://catalog.archives.gov/id/470760859","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-005.pdf"
"470760855","1988-11-09","1988-11-09","November 9, 1988","Dated covering memorandum","Reagan-Bush Transition Briefing Book: Background on NSC Organization and Administration","99015-001","Transition Economies and International Economic Strategy","Boundary review","NSC transition; International Economic Affairs Directorate; Interagency process","The covering memorandum and briefing book define the outgoing NSC's international-economic portfolio, including trade, debt, multilateral development banks, energy, the Paris Summit, East-West economic relations, and technology-transfer responsibilities. Use this as institutional and authorship context; the more substantive policy-issues briefing in NAID 470760859 should normally control documentary selection.","the released November 9 covering memorandum and directorate descriptions are present; two unrelated attachments totaling 11 pages remain identified on the withdrawal sheet","verified","true","82","4748946","4748946","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","3","101","43","13","24","3","6","3","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–001, Reagan-Bush Transition Briefing Book: Background on NSC Organization and Administration.","https://catalog.archives.gov/id/470760855","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-001.pdf"
"470760858","1988-12-01","1989-09-14","December 1988-September 14, 1989","Compilation cover month through dated Bush letter","Authorities and Responsibilities of the United States Chief of Mission","99015-004","Series context and cross-volume routing","Series context","","","","verified","true","41","7130920","7130920","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","14","6","1","1","2","4","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–004, Authorities and Responsibilities of the United States Chief of Mission.","https://catalog.archives.gov/id/470760858","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-004.pdf"
"470760860","1988-12-09","1988-12-09","December 9, 1988","Dated covering memorandum","National Security Council System, 1947-1988: Truman to Reagan","99015-006","Series context and cross-volume routing","Series context","","","","verified","true","129","9616442","9616442","Catalog objectFileSize","Restricted - Possibly","2","1","0","1","2","87","22","2","12","2","14","2","33","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99015–006, National Security Council System, 1947-1988: Truman to Reagan.","https://catalog.archives.gov/id/470760860","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-006.pdf"
"470760875","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 1 [1]","99017-001","Series context and cross-volume routing","Series context","","","","verified","true","160","36039793","36039792","HTTP Content-Length","Restricted - Possibly","2","0","0","0","7","208","88","16","43","6","9","12","34","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–001, NSC Procedural Manual—Binder 1 [1].","https://catalog.archives.gov/id/470760875","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-001.pdf"
"470760876","1989-01-01","1989-01-01","Winter 1989","Winter 1989 compilation; January 1 is a sorting key only","NSC Procedural Manual - Binder 1 [2]","99017-002","Series context and cross-volume routing","Series context","","","","verified","true","195","15224159","15224159","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","19","2","2","0","7","4","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, IF Transition Files, OA/ID 99017–002, NSC Procedural Manual—Binder 1 [2].","https://catalog.archives.gov/id/470760876","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-002.pdf"
