"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-470761486","1991-10-11","DC Meeting 10/11/91 3:00 Room 208 Pan Am 103","National Security Council Deputies Committee Follow-Up File: DC Meeting 10/11/91 3:00 Room 208 Pan Am 103","October 11, 1991","NSC/Deputies Committee follow-up file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","11","11 PDF pages; withdrawal sheet identifies 4 pages of sanctions papers","Mixed; document-level audit required","470761486","90043–022","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–022, DC Meeting 10/11/91 3:00 Room 208 Pan Am 103.","Boundary review. The opening withdrawal sheet identifies separate papers on current sanctions and possible measures or sanctions. Route principal records against the terrorism and regional volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761486","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-022.pdf"
"lead-470761497","1992-03-11","DC Meeting-Iraq 3/11/92 4:30—5:30 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Iraq 3/11/92 4:30—5:30 Situation Room","March 11, 1992","NSC/Deputies Committee follow-up file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","14","14 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761497","90043–033","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–033, DC Meeting-Iraq 3/11/92 4:30—5:30 Situation Room.","Boundary review. This is the follow-up folder for the March 11 Iraq meeting. Review it with main meeting file NAID 470761362, which contains the frozen-assets, oil-proceeds, and UN-financing record, and retain only distinct items. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761497","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-033.pdf"
"lead-470761498","1992-03-17","DC Meeting-CIS Export of Technology/Proliferation","National Security Council Deputies Committee Follow-Up File: DC Meeting-CIS Export of Technology/Proliferation","March 17, 1992","NSC/Deputies Committee follow-up file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","14","14 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761498","90043–034","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–034, DC Meeting-CIS Export of Technology/Proliferation.","Direct Volume XXX review. The participant and appointment record establishes the otherwise undated March 17 meeting. Review it with main meeting file NAID 470761363 and avoid duplicating the substantive record. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761498","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-034.pdf"
"lead-470761502","1992-03-26","DC Meeting-Machine Tools 3/26/92 11:00 a.m. Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Machine Tools 3/26/92 11:00 a.m. Situation Room","March 26, 1992","NSC/Deputies Committee follow-up file","Trade Policy and Market Access","Core","Online file unit; item audit pending","22","22 PDF pages; withdrawal sheet identifies a 1-page Confidential Melby memorandum","Mixed; document-level audit required","470761502","90043–038","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–038, DC Meeting-Machine Tools 3/26/92 11:00 a.m. Situation Room.","Direct Volume XXX review. The withdrawal sheet identifies Eric Melby's memorandum on the machine-tool VRA. Review it with main meeting file NAID 470761367. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761502","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-038.pdf"
"lead-470761503","1992-04-01","DC Meeting-Iraq and the Turkish Kurds 4/1/92 4:00-5:00 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Iraq and the Turkish Kurds 4/1/92 4:00-5:00 Situation Room","April 1, 1992","NSC/Deputies Committee follow-up file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","15","15 PDF pages; withdrawal sheet identifies a 3-page Secret Riedel memorandum","Mixed; document-level audit required","470761503","90043–039","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–039, DC Meeting-Iraq and the Turkish Kurds 4/1/92 4:00-5:00 Situation Room.","Boundary review. The released routing text discusses Iraqi oil exports under UN Security Council Resolutions 706 and 712 to finance food and medicine; the withdrawal sheet also identifies a Riedel memorandum. Review it with main meeting file NAID 470761368. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761503","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-039.pdf"
"lead-470761505","1992-04-09","DC Meeting-Export Controls 4/9/92 11:00-12:00 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Export Controls 4/9/92 11:00-12:00 Situation Room","April 9, 1992","NSC/Deputies Committee follow-up file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","26","26 PDF pages; withdrawal sheet identifies 11-page Secret minutes","Mixed; document-level audit required","470761505","90043–041","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–041, DC Meeting-Export Controls 4/9/92 11:00-12:00 Situation Room.","Direct Volume XXX review. The withdrawal sheet identifies Secret Deputies Committee minutes, issues for decision, and multiple export-control regulatory-reform reports. Review it with main meeting file NAID 470761369. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761505","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-041.pdf"
"lead-470761506","1992-04-15","Restricted DC Meeting-Drugs/International Drug Strategy 11:00-12:00","National Security Council Deputies Committee Follow-Up File: Restricted DC Meeting-Drugs/International Drug Strategy 11:00-12:00","April 15, 1992","NSC/Deputies Committee follow-up file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","26","26 PDF pages; withdrawal sheet identifies 15-page Secret minutes and 17 pages of graphs","Mixed; document-level audit required","470761506","90043–042","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–042, Restricted DC Meeting-Drugs/International Drug Strategy 11:00-12:00.","Boundary review. The opening sheets establish the April 15 meeting and identify a discussion paper, fully withheld Deputies Committee minutes, and related graphs. Route the principal record against the counternarcotics and regional volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761506","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-042.pdf"
"lead-470761507","1992-04-22","DC Meeting-Follow-om Export Controls 4/22/92 3:00-4:00 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Follow-om Export Controls 4/22/92 3:00-4:00 Situation Room","April 22, 1992","NSC/Deputies Committee follow-up file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","57","57 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761507","90043–043","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–043, DC Meeting-Follow-om Export Controls 4/22/92 3:00-4:00 Situation Room.","Direct Volume XXX review. This is the implementation-rich follow-up folder for the April 22 export-control decisions, including agency responsibilities, reports, and an issues paper. Review it with main meeting files NAIDs 470761371 and 470761372 and deduplicate repeated papers. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761507","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-043.pdf"
"lead-470761510","1992-05-04","DC Meeting-Counternarcotics May 4, 1992 11:00-12:00 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Counternarcotics May 4, 1992 11:00-12:00 Situation Room","May 4, 1992","NSC/Deputies Committee follow-up file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","38","38 PDF pages; withdrawal sheet identifies a 3-page Secret summary and a 1-page funding plan","Mixed; document-level audit required","470761510","90043–046","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–046, DC Meeting-Counternarcotics May 4, 1992 11:00-12:00 Situation Room.","Boundary review. The withdrawal sheets identify the summary of conclusions, a seven-page discussion paper, and an illustrative funding plan. Route principal records against the counternarcotics and regional volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761510","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-046.pdf"
"lead-470761512","1992-05-13","DC Meeting-Nuclear Reactor Saftey in Former Soviet Union May 13, 1992 4:00 Situation Room","National Security Council Deputies Committee Follow-Up File: DC Meeting-Nuclear Reactor Saftey in Former Soviet Union May 13, 1992 4:00 Situation Room","May 13, 1992","NSC/Deputies Committee follow-up file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","37","37 PDF pages; withdrawal sheet identifies a 14-page working paper and 7-page U.S. action paper","Mixed; document-level audit required","470761512","90043–048","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–048, DC Meeting-Nuclear Reactor Saftey in Former Soviet Union May 13, 1992 4:00 Situation Room.","Direct Volume XXX review. The withdrawal sheets identify the Poneman-Melby memorandum, a working paper on reactor safety in the NIS, and recommended U.S. actions. Review it with main meeting file NAID 470761377. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761512","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-048.pdf"
