"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470761465","1990-02-27","1990-02-27","Catalog coverage dates","DC-[…] 2/27/90","90043-001","Series context and cross-volume routing","Series context","verified","true","4169739","4169739","HTTP Content-Length","Restricted - Possibly","0","0","0","0","6","8","0","5","0","0","0","0","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–001, DC-[…] 2/27/90.","https://catalog.archives.gov/id/470761465","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-001.pdf"
"470761466","1990-03-23","1990-03-23","Catalog coverage dates","DC-Lithuania, Situation Room 3/23/90 5:00 pm","90043-002","Series context and cross-volume routing","Series context","verified","true","980840","980840","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","5","0","4","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–002, DC-Lithuania, Situation Room 3/23/90 5:00 pm.","https://catalog.archives.gov/id/470761466","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-002.pdf"
"470761467","1990-03-28","1990-03-28","Catalog coverage dates","DC-SVTS-Lithuania 3/28/90 9:30 am","90043-003","Series context and cross-volume routing","Series context","verified","true","537624","537624","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","3","0","2","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–003, DC-SVTS-Lithuania 3/28/90 9:30 am.","https://catalog.archives.gov/id/470761467","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-003.pdf"
"470761468","1990-04-16","1990-04-16","Catalog coverage dates","DC-(SVTS) Lithuania 4/16/90 2:30 pm","90043-004","Series context and cross-volume routing","Series context","verified","true","452804","452804","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–004, DC-(SVTS) Lithuania 4/16/90 2:30 pm.","https://catalog.archives.gov/id/470761468","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-004.pdf"
"470761469","1990-04-17","1990-04-17","Catalog coverage dates","DC-Lithuania, Situation Room 4/17/90 9:30 am","90043-005","Series context and cross-volume routing","Series context","verified","true","547617","547617","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","3","3","0","2","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–005, DC-Lithuania, Situation Room 4/17/90 9:30 am.","https://catalog.archives.gov/id/470761469","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-005.pdf"
"470761470","1990-04-18","1990-04-18","Catalog coverage dates","DC-Special Access, Situation Room 4/18/90 4:15 pm","90043-006","Series context and cross-volume routing","Series context","verified","true","656744","656744","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","2","0","2","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–006, DC-Special Access, Situation Room 4/18/90 4:15 pm.","https://catalog.archives.gov/id/470761470","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-006.pdf"
"470761471","1990-04-21","1990-04-21","Catalog coverage dates","DC-SVTS-Lithuania 4/21/90 10:30 am","90043-007","Series context and cross-volume routing","Series context","verified","true","1031008","1031008","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","3","0","2","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–007, DC-SVTS-Lithuania 4/21/90 10:30 am.","https://catalog.archives.gov/id/470761471","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-007.pdf"
"470761472","1990-04-23","1990-04-23","Catalog coverage dates","NSC-Lithuania, Cabinet Room 4/23/90 6:00 pm","90043-008","Series context and cross-volume routing","Series context","verified","true","709011","709011","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","17","0","4","2","0","0","3","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–008, NSC-Lithuania, Cabinet Room 4/23/90 6:00 pm.","https://catalog.archives.gov/id/470761472","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-008.pdf"
"470761473","1990-10-09","1990-10-09","Catalog coverage dates","DC-SVTS Meeting, 10/9/90","90043-009","Series context and cross-volume routing","Series context","verified","true","454172","454172","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–009, DC-SVTS Meeting, 10/9/90.","https://catalog.archives.gov/id/470761473","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-009.pdf"
"470761474","1990-11-26","1990-11-26","Catalog coverage dates","DC-Intelligence Auhorization Bill, Situation Room 11/26/90 1:00 pm","90043-010","Series context and cross-volume routing","Series context","verified","true","462224","462224","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–010, DC-Intelligence Auhorization Bill, Situation Room 11/26/90 1:00 pm.","https://catalog.archives.gov/id/470761474","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-010.pdf"
