"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","withheldPages","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-470760976","1989-02-14","NSC/DC 002—February 14, 1989—NSC/DC Meeting on Review of FSX for Japan, Keywords: Japan, Technology, Transfers","National Security Council Deputies Committee Meeting File: NSC/DC 002—February 14, 1989—NSC/DC Meeting on Review of FSX for Japan, Keywords: Japan, Technology, Transfers","February 14, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","58","","58 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760976","90009–002","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–002, NSC/DC 002—February 14, 1989—NSC/DC Meeting on Review of FSX for Japan, Keywords: Japan, Technology, Transfers.","Boundary review. The packet frames the FSX co-development decision as an international-trade, industrial-base, and technology-transfer question; adjudicate it against the Japan and security volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760976","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-2-90009-002.pdf"
"lead-470760981","1989-03-10","NSC/DC 007—March 10, 1989—NSC/DC Meeting on FSX for Japan, Keywords: Japan","National Security Council Deputies Committee Meeting File: NSC/DC 007—March 10, 1989—NSC/DC Meeting on FSX for Japan, Keywords: Japan","March 10, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","59","","59 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760981","90009–007","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–007, NSC/DC 007—March 10, 1989—NSC/DC Meeting on FSX for Japan, Keywords: Japan.","Boundary review. The folder includes the March 10 Deputies Committee memcon and decision papers on technology, procurement, production share, and trade implications; compare it with the February FSX review. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760981","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-7-90009-007.pdf"
"lead-470760982","1989-03-17","NSC/DC 008—March 17, 1989—NSC/DC Meeting on NSR-4 re: U.S. / Eastern Europe Relations, Keywords: Europe, East","National Security Council Deputies Committee Meeting File: NSC/DC 008—March 17, 1989—NSC/DC Meeting on NSR-4 re: U.S. / Eastern Europe Relations, Keywords: Europe, East","March 17, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","72","","72 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760982","90009–008","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–008, NSC/DC 008—March 17, 1989—NSC/DC Meeting on NSR-4 re: U.S. / Eastern Europe Relations, Keywords: Europe, East.","Direct Volume XXX review. The minutes and NSR-4 papers address reform-linked assistance, Polish debt, Paris Club leverage, trade tools, and possible IMF and World Bank action. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760982","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-8-90009-008.pdf"
"lead-470760984","1989-03-22","NSC/DC 010—March 22, 1989—NSC/DC Meeting on NSR-5 / U.S. and Western Europe Relations, Keywords: Europe, West, Economics","National Security Council Deputies Committee Meeting File: NSC/DC 010—March 22, 1989—NSC/DC Meeting on NSR-5 / U.S. and Western Europe Relations, Keywords: Europe, West, Economics","March 22, 1989","NSC/Deputies Committee file","Trade Policy and Market Access","Core","Online file unit; item audit pending","65","","65 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760984","90009–010","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–010, NSC/DC 010—March 22, 1989—NSC/DC Meeting on NSR-5 / U.S. and Western Europe Relations, Keywords: Europe, West, Economics.","Direct Volume XXX review. The meeting record is explicitly the economic-aspects review of NSR-5 and covers European integration, the 1992 program, trade disputes, and related U.S. strategy. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760984","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-10-90009-010.pdf"
"lead-470760988","1989-03-29","NSC/DC 014—March 29, 1989—NSC/DC Meeting on NSR-3 re: U.S.—Soviet Economic Relations, Keywords: USSR Economics","National Security Council Deputies Committee Meeting File: NSC/DC 014—March 29, 1989—NSC/DC Meeting on NSR-3 re: U.S.—Soviet Economic Relations, Keywords: USSR Economics","March 29, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","22","","22 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760988","90009–014","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–014, NSC/DC 014—March 29, 1989—NSC/DC Meeting on NSR-3 re: U.S.—Soviet Economic Relations, Keywords: USSR Economics.","Direct Volume XXX review. The released minutes and summary treat U.S.-Soviet economic relations, reform, trade, credits, joint ventures, and possible liberalization as a distinct policy track. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760988","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-14-90009-014.pdf"
"lead-470760989","1989-03-30","NSC/DC 015—March 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland","National Security Council Deputies Committee Meeting File: NSC/DC 015—March 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland","March 30, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","78","","78 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760989","90009–015","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–015, NSC/DC 015—March 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland.","Direct Volume XXX review. The packet includes a memorandum from Scowcroft to the President and interagency options for responding to a successful Polish Round Table, including economic support. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760989","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-15-90009-015.pdf"
"lead-470760991","1989-04-07","NSC/DC 017—April 07, 1989—NSC/DC Meeting on South Asia, Keywords: South Asia","National Security Council Deputies Committee Meeting File: NSC/DC 017—April 07, 1989—NSC/DC Meeting on South Asia, Keywords: South Asia","April 7, 1989","NSC/Deputies Committee file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","102","","102 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760991","90009–017","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–017, NSC/DC 017—April 07, 1989—NSC/DC Meeting on South Asia, Keywords: South Asia.","Boundary review. The South Asia review weighs aid levels to Pakistan, nuclear-certification consequences, trade and nonmilitary technology with India, and regional development; route against the South Asia volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760991","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-17-90009-017.pdf"
"lead-470760994","1989-04-13","NSC/DC 020—April 13, 1989—NSC/DC Meeting on Persian Gulf, Keywords: Persian Gulf","National Security Council Deputies Committee Meeting File: NSC/DC 020—April 13, 1989—NSC/DC Meeting on Persian Gulf, Keywords: Persian Gulf","April 13, 1989","NSC/Deputies Committee file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","60","","60 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760994","90009–020","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–020, NSC/DC 020—April 13, 1989—NSC/DC Meeting on Persian Gulf, Keywords: Persian Gulf.","Boundary review. The minutes examine dependence on Gulf oil, prices, infrastructure, and the economic rationale for regional policy; primary placement may remain in the Gulf volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470760994","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-20-90009-020.pdf"
"lead-470761017","1989-08-09","NSC/DC 043—August 09, 1989—NSC/DC Meeting on Panama Economic Sanctions, Keywords: Panama, Economics, Sanctions, DC Minutes","National Security Council Deputies Committee Meeting File: NSC/DC 043—August 09, 1989—NSC/DC Meeting on Panama Economic Sanctions, Keywords: Panama, Economics, Sanctions, DC Minutes","August 9, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","94","","94 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761017","90010–022","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90010–022, NSC/DC 043—August 09, 1989—NSC/DC Meeting on Panama Economic Sanctions, Keywords: Panama, Economics, Sanctions, DC Minutes.","Boundary review. The file contains minutes, a summary of conclusions, and options on Panama sanctions and blocked government assets; route against the Latin America volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761017","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-43-90010-022.pdf"
"lead-470761020","1989-08-30","NSC/DC 046—August 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland","National Security Council Deputies Committee Meeting File: NSC/DC 046—August 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland","August 30, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","35","","35 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761020","90010–025","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90010–025, NSC/DC 046—August 30, 1989—NSC/DC Meeting on Poland, Keywords: Poland.","Direct Volume XXX review. The meeting preparation and presidential talking points concern signaling U.S. support for democratic change in Poland and the accompanying support package. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761020","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-46-90010-025.pdf"
"lead-470761024","1989-09-06","NSC/DC 050—September 06, 1989—NSC/DC Meeting on Additional Assistance to Poland, Keywords: Poland, Food","National Security Council Deputies Committee Meeting File: NSC/DC 050—September 06, 1989—NSC/DC Meeting on Additional Assistance to Poland, Keywords: Poland, Food","September 6, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","132","","132 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761024","90011–003","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–003, NSC/DC 050—September 06, 1989—NSC/DC Meeting on Additional Assistance to Poland, Keywords: Poland, Food.","Direct Volume XXX review. The packet includes Scowcroft's decision memorandum to the President, Deputies Committee recommendations, and repeated versions of the additional-support paper; deduplicate the copies. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761024","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-50-90011-003.pdf"
"lead-470761031","1989-09-18","NSC/DC 057—September 18, 1989—NSC/DC Meeting on South Africa, Keywords: South Africa","National Security Council Deputies Committee Meeting File: NSC/DC 057—September 18, 1989—NSC/DC Meeting on South Africa, Keywords: South Africa","September 18, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","56","","56 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761031","90011–010","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–010, NSC/DC 057—September 18, 1989—NSC/DC Meeting on South Africa, Keywords: South Africa.","Boundary review. NSR-15 considers sanctions, incentives, investment in black-owned firms, and nuclear-trade restrictions; route against the Africa and nonproliferation volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761031","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-57-90011-010.pdf"
"lead-470761033","1989-09-20","NSC/DC 059—September 20, 1989—NSC/DC Meeting on Machine Tools, Keywords: COCOM","National Security Council Deputies Committee Meeting File: NSC/DC 059—September 20, 1989—NSC/DC Meeting on Machine Tools, Keywords: COCOM","September 20, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","49","","49 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761033","90011–012","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–012, NSC/DC 059—September 20, 1989—NSC/DC Meeting on Machine Tools, Keywords: COCOM.","Direct Volume XXX review. The file contains options and meeting preparation for machine-tool negotiations in COCOM, including control-list streamlining. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761033","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-59-90011-012.pdf"
"lead-470761034","1989-09-21","NSC/DC 060—September 21, 1989—NSC/DC Meeting on Economic Assistance for Poland, Keywords: Poland, Economic Assistance","National Security Council Deputies Committee Meeting File: NSC/DC 060—September 21, 1989—NSC/DC Meeting on Economic Assistance for Poland, Keywords: Poland, Economic Assistance","September 21, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","28","","28 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761034","90011–013","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–013, NSC/DC 060—September 21, 1989—NSC/DC Meeting on Economic Assistance for Poland, Keywords: Poland, Economic Assistance.","Direct Volume XXX review. The packet centers on options and memoranda for the next steps in Poland's recovery program. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761034","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-60-90011-013.pdf"
"lead-470761035","1989-09-25","NSC/DC 061—September 25, 1989—NSC/DC Meeting on Poland and Economic Assistance, Keywords: Poland, Economic Assistance","National Security Council Deputies Committee Meeting File: NSC/DC 061—September 25, 1989—NSC/DC Meeting on Poland and Economic Assistance, Keywords: Poland, Economic Assistance","September 25, 1989","NSC/Deputies Committee file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","20","","20 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761035","90011–014","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–014, NSC/DC 061—September 25, 1989—NSC/DC Meeting on Poland and Economic Assistance, Keywords: Poland, Economic Assistance.","Direct Volume XXX review. This follow-on file contains the concept paper and related memorandum on economic assistance for Poland; compare it with NSC/DC 060. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761035","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-61-90011-014.pdf"
"lead-470761044","1989-10-19","NSC/DC 067—October 19, 1989—NSC/DC Meeting on Machine Tools and COCOM, Keywords: COCOM","National Security Council Deputies Committee Meeting File: NSC/DC 067—October 19, 1989—NSC/DC Meeting on Machine Tools and COCOM, Keywords: COCOM","October 19, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","86","","86 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761044","90011–023","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90011–023, NSC/DC 067—October 19, 1989—NSC/DC Meeting on Machine Tools and COCOM, Keywords: COCOM.","Direct Volume XXX review. The minutes and summary record the Deputies Committee decisions on machine tools, COCOM list review, and streamlining. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761044","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-67-90011-023.pdf"
"lead-470761050","1989-11-03","NSC/DC 073—November 03, 1989—NSC/DC Meeting on, Keywords: Philippines","National Security Council Deputies Committee Meeting File: NSC/DC 073—November 03, 1989—NSC/DC Meeting on, Keywords: Philippines","November 3, 1989","NSC/Deputies Committee file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","168","","168 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761050","90012–004","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90012–004, NSC/DC 073—November 03, 1989—NSC/DC Meeting on, Keywords: Philippines.","Boundary review. The packet develops debt-for-bases, economic-development, Japanese-financing, trade, and investment options around the Philippine base negotiation; route against the East Asia volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761050","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-73-90012-004.pdf"
"lead-470761053","1989-11-17","NSC/DC 076—November 17, 1989—NSC/DC Meeting on Economic Sanctions / Panama, Keywords: Panama","National Security Council Deputies Committee Meeting File: NSC/DC 076—November 17, 1989—NSC/DC Meeting on Economic Sanctions / Panama, Keywords: Panama","November 17, 1989","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","118","","118 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761053","90012–007","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90012–007, NSC/DC 076—November 17, 1989—NSC/DC Meeting on Economic Sanctions / Panama, Keywords: Panama.","Boundary review. The file documents a further Deputies Committee review of Panama economic sanctions and options for financial pressure; compare it with NSC/DC 043. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761053","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-76-90012-007.pdf"
"lead-470761067","1989-12-19","NSC/DC 084—December 19, 1989—NSC/DC Meeting on Philippines, Keywords: Philippines","National Security Council Deputies Committee Meeting File: NSC/DC 084—December 19, 1989—NSC/DC Meeting on Philippines, Keywords: Philippines","December 19, 1989","NSC/Deputies Committee file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","58","","58 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761067","90012–021","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90012–021, NSC/DC 084—December 19, 1989—NSC/DC Meeting on Philippines, Keywords: Philippines.","Boundary review. The minutes and briefing tie additional U.S. assistance to Philippine economic and military reforms intended to improve investment conditions. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761067","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-84-90012-021.pdf"
"lead-470761080","1990-01-12","NSC/DC 096—January 12, 1990—NSC/DC Meeting on Panama, Keywords: Panama","National Security Council Deputies Committee Meeting File: NSC/DC 096—January 12, 1990—NSC/DC Meeting on Panama, Keywords: Panama","January 12, 1990","NSC/Deputies Committee file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","138","","138 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761080","90013–003","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90013–003, NSC/DC 096—January 12, 1990—NSC/DC Meeting on Panama, Keywords: Panama.","Boundary review. The post-Noriega policy papers include recovery, aid, and economic-reconstruction questions; route the principal record against the Latin America volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761080","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-96-90013-003.pdf"
"lead-470761085","1990-01-27","NSC/DC 101—January 27, 1990—NSC/DC Meeting on COCOM, Keywords: COCOM","National Security Council Deputies Committee Meeting File: NSC/DC 101—January 27, 1990—NSC/DC Meeting on COCOM, Keywords: COCOM","January 27, 1990","NSC/Deputies Committee file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","67","","67 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470761085","90013–008","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90013–008, NSC/DC 101—January 27, 1990—NSC/DC Meeting on COCOM, Keywords: COCOM.","Direct Volume XXX review. The minutes and summary cover the COCOM core list, differentiation, telecommunications, computers, and machine-tool negotiations. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/470761085","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-101-90013-008.pdf"
