"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470760975","1989-02-08","1989-02-08","Catalog coverage dates","NSC/DC 001 - February 08, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan","90009-001","Series context and cross-volume routing","Series context","verified","true","4716102","4716102","HTTP Content-Length","Restricted - Possibly","0","1","0","0","22","41","2","20","4","2","3","4","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–001, NSC/DC 001—February 08, 1989—NSC/DC Meeting on Afghanistan, Keywords: Afghanistan.","https://catalog.archives.gov/id/470760975","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-1-90009-001.pdf"
"470760976","1989-02-14","1989-02-14","Catalog coverage dates","NSC/DC 002 - February 14, 1989 - NSC/DC Meeting on Review of FSX for Japan, Keywords: Japan, Technology, Transfers","90009-002","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","true","15014737","15014737","HTTP Content-Length","Restricted - Possibly","0","1","0","0","10","59","8","9","21","0","2","2","17","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–002, NSC/DC 002—February 14, 1989—NSC/DC Meeting on Review of FSX for Japan, Keywords: Japan, Technology, Transfers.","https://catalog.archives.gov/id/470760976","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-2-90009-002.pdf"
"470760977","1989-02-17","1989-02-17","Catalog coverage dates","NSC/DC 003 - February 17, 1989 - NSC/DC Meeting on Panama, Keywords: Panama","90009-003","Series context and cross-volume routing","Series context","verified","true","2607901","2607901","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","10","0","3","0","2","0","0","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–003, NSC/DC 003—February 17, 1989—NSC/DC Meeting on Panama, Keywords: Panama.","https://catalog.archives.gov/id/470760977","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-3-90009-003.pdf"
"470760978","1989-03-07","1989-03-07","Catalog coverage dates","NSC/DC 004 - March 07, 1989 - NSC/DC Meeting on NSR-6 re: Nicaragua, Keywords: Nicaragua (File located @ NLMS)","90009-004","Series context and cross-volume routing","Series context","verified","true","451713","451713","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–004, NSC/DC 004—March 07, 1989—NSC/DC Meeting on NSR-6 re: Nicaragua, Keywords: Nicaragua (File located @ NLMS).","https://catalog.archives.gov/id/470760978","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-4-90009-004.pdf"
"470760979","1989-03-08","1989-03-08","Catalog coverage dates","NSC/DC 005 - March 08, 1989 - NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan","90009-005","Series context and cross-volume routing","Series context","verified","true","576483","576483","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–005, NSC/DC 005—March 08, 1989—NSC/DC Meeting on Non-Lethal Finding and Transfer of Funds re: Afghanistan, Keywords: Afghanistan.","https://catalog.archives.gov/id/470760979","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-5-90009-005.pdf"
"470760980","1989-03-08","1989-03-08","Catalog coverage dates","NSC/DC 006 - March 08, 1989 - NSC/DC Meeting on Panama, Keywords: Panama","90009-006","Series context and cross-volume routing","Series context","verified","true","14580018","14580018","HTTP Content-Length","Restricted - Possibly","0","0","0","1","19","66","4","16","9","0","9","7","21","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–006, NSC/DC 006—March 08, 1989—NSC/DC Meeting on Panama, Keywords: Panama.","https://catalog.archives.gov/id/470760980","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-6-90009-006.pdf"
"470760981","1989-03-10","1989-03-10","Catalog coverage dates","NSC/DC 007 - March 10, 1989 - NSC/DC Meeting on FSX for Japan, Keywords: Japan","90009-007","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","true","8909557","8909557","HTTP Content-Length","Restricted - Possibly","0","0","1","0","13","75","1","11","21","0","13","7","22","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–007, NSC/DC 007—March 10, 1989—NSC/DC Meeting on FSX for Japan, Keywords: Japan.","https://catalog.archives.gov/id/470760981","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-7-90009-007.pdf"
"470760982","1989-03-17","1989-03-17","Catalog coverage dates","NSC/DC 008 - March 17, 1989 - NSC/DC Meeting on NSR-4 re: U.S. / Eastern Europe Relations, Keywords: Europe, East","90009-008","Transition Economies and International Economic Strategy","Volume XXX review","verified","true","15087281","15087281","HTTP Content-Length","Restricted - Possibly","0","0","0","3","1","448","167","114","102","44","1","11","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–008, NSC/DC 008—March 17, 1989—NSC/DC Meeting on NSR-4 re: U.S. / Eastern Europe Relations, Keywords: Europe, East.","https://catalog.archives.gov/id/470760982","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-8-90009-008.pdf"
"470760983","1989-03-20","1989-03-20","Catalog coverage dates","NSC/DC 009 - March 20, 1989 - NSC/DC Meeting on NSR-5 re: Political and Security Aspects / U.S.-Western European Relations, Keywords: Europe, West","90009-009","Series context and cross-volume routing","Series context","verified","true","10676074","10676074","HTTP Content-Length","Restricted - Possibly","0","1","0","16","11","55","22","15","10","0","1","3","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–009, NSC/DC 009—March 20, 1989—NSC/DC Meeting on NSR-5 re: Political and Security Aspects / U.S.-Western European Relations, Keywords: Europe, West.","https://catalog.archives.gov/id/470760983","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-9-90009-009.pdf"
"470760984","1989-03-22","1989-03-22","Catalog coverage dates","NSC/DC 010 - March 22, 1989 - NSC/DC Meeting on NSR-5 / U.S. and Western Europe Relations, Keywords: Europe, West, Economics","90009-010","Trade Policy and Market Access","Volume XXX review","verified","true","11661459","11661459","HTTP Content-Length","Restricted - Possibly","0","2","0","6","9","222","112","11","66","1","2","16","14","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90009–010, NSC/DC 010—March 22, 1989—NSC/DC Meeting on NSR-5 / U.S. and Western Europe Relations, Keywords: Europe, West, Economics.","https://catalog.archives.gov/id/470760984","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-10-90009-010.pdf"
