"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","withheldPages","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-470760887","1989-03-14","NSC0003—March 14, 1989—International Debt, Economics, International Finance","National Security Council Meeting File: NSC0003—March 14, 1989—International Debt, Economics, International Finance","March 14, 1989","NSC meeting file","Monetary Policy, Debt, and International Institutions","Core","Partly released","102","","102 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760887","90000–003","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–003, NSC0003—March 14, 1989—International Debt, Economics, International Finance.","Direct Volume XXX review. The file includes an 8-page Secret NSC meeting record identified on the withdrawal/citation sheet, together with agenda, briefing, and follow-up material. Promote individual documents only after source-image review.","https://catalog.archives.gov/id/470760887","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-3-90000-003.pdf"
"lead-470760889","1989-03-15","NSC0005—March 15, 1989—Fighter Support Experimental Project, Japan","National Security Council Meeting File: NSC0005—March 15, 1989—Fighter Support Experimental Project, Japan","March 15, 1989","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Boundary","Partly released","45","","45 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760889","90000–005","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–005, NSC0005—March 15, 1989—Fighter Support Experimental Project, Japan.","Boundary review. The file concerns the FSX project and includes minutes, draft minutes, an agenda, talking points, and a memorandum from Karl Jackson to Brent Scowcroft. Its primary placement may be a Japan or security volume, but the technology-transfer and industrial-policy record warrants Volume XXX review.","https://catalog.archives.gov/id/470760889","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-5-90000-005.pdf"
"lead-470760890","1989-03-18","NSC0006—March 18, 1989—Fighter Support Experimental Project, Japan","National Security Council Meeting File: NSC0006—March 18, 1989—Fighter Support Experimental Project, Japan","March 18, 1989","NSC meeting file","Strategic Trade, Technology, and Investment Controls","Boundary","Partly released","7","","7 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760890","90000–006","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–006, NSC0006—March 18, 1989—Fighter Support Experimental Project, Japan.","Boundary review. The file contains a memorandum for the record and NSC meeting minutes on the FSX project. Adjudicate against the Japan and security volumes before inclusion.","https://catalog.archives.gov/id/470760890","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-6-90000-006.pdf"
"lead-470760892","1989-03-30","NSC0008—March 30, 1989—Western Europe, Eastern Europe","National Security Council Meeting File: NSC0008—March 30, 1989—Western Europe, Eastern Europe","March 30, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","40","","40 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760892","90000–008","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–008, NSC0008—March 30, 1989—Western Europe, Eastern Europe.","Direct Volume XXX review. This meeting-preparation file includes a Secret outline, agendas, presidential talking points, and a March 28 memorandum from Philip Zelikow to Brent Scowcroft. NARA OCR identifies EC trade disputes, Polish and Hungarian debt, and Western economic assistance. Compare with the April 4 meeting file and deduplicate repeated briefing material.","https://catalog.archives.gov/id/470760892","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-8-90000-008.pdf"
"lead-470760893","1989-04-04","NSC0008a—April 04, 1989—U.S. Relations with Western Europe and Eastern Europe","National Security Council Meeting File: NSC0008a—April 04, 1989—U.S. Relations with Western Europe and Eastern Europe","April 4, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","59","","59 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760893","90000–009","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–009, NSC0008a—April 04, 1989—U.S. Relations with Western Europe and Eastern Europe.","Direct Volume XXX review. The opening inventory identifies a 10-page Top Secret NSC meeting record on relations with Western and Eastern Europe. The packet addresses European integration, U.S.-EC trade disputes, debt, and assistance and refers to a Deputies Committee review of the economic aspects of U.S.-West European relations.","https://catalog.archives.gov/id/470760893","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-8a-90000-009.pdf"
"lead-470760894","1989-04-05","NSC0009—April 05, 1989—Review of National Security Review 3 Regarding U.S. and USSR Relations","National Security Council Meeting File: NSC0009—April 05, 1989—Review of National Security Review 3 Regarding U.S. and USSR Relations","April 5, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","74","","74 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760894","90000–010","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–010, NSC0009—April 05, 1989—Review of National Security Review 3 Regarding U.S. and USSR Relations.","Direct Volume XXX review. The file identifies an 8-page Top Secret NSC meeting record and the 31-page Secret NSR 3 report. The discussion explicitly covers U.S.-Soviet trade, export credits, COCOM, GATT, and IMF questions. Compare with NSR 3 copies in the Tim Deal files, including NARA Catalog ID 452050608, before creating document-level entries.","https://catalog.archives.gov/id/470760894","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-9-90000-010.pdf"
"lead-470760921","1989-10-03","NSC0030—October 03, 1989—Poland, Economic Assistance","National Security Council Meeting File: NSC0030—October 03, 1989—Poland, Economic Assistance","October 3, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","134","69","134 PDF pages; withdrawal sheets identify 69 Secret pages withheld","Mixed; document-level audit required","470760921","90001–018","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–018, NSC0030—October 03, 1989—Poland, Economic Assistance.","Direct Volume XXX review. This supersedes the earlier standalone locator for the same NAID. The existing 22-item withdrawal ledger is retained; released and duplicate copies still require document-level adjudication.","https://catalog.archives.gov/id/470760921","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-30-90001-018.pdf"
"lead-470760926","1989-11-30","NSC0032a—November 30, 1989—Malta Summit, USSR","National Security Council Meeting File: NSC0032a—November 30, 1989—Malta Summit, USSR","November 30, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","22","","22 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760926","90001–023","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–023, NSC0032a—November 30, 1989—Malta Summit, USSR.","Direct Volume XXX review. The file contains two Secret memoranda from Brent Scowcroft to the President and presidential talking points for the Malta discussion. Its economic section addresses a trade agreement, private investment, joint ventures, technical assistance, market reform, and possible IMF or World Bank membership.","https://catalog.archives.gov/id/470760926","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-32a-90001-023.pdf"
"lead-470760927","1989-12-05","NSC0033—December 05, 1989—Malta Follow Up, Arms Control, Summit","National Security Council Meeting File: NSC0033—December 05, 1989—Malta Follow Up, Arms Control, Summit","December 5, 1989","NSC meeting file","Transition Economies and International Economic Strategy","Core","Partly released","55","","55 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760927","90001–024","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–024, NSC0033—December 05, 1989—Malta Follow Up, Arms Control, Summit.","Direct Volume XXX review. The Malta follow-up packet begins with a handwritten note on economic points and includes Secret and Confidential NSC meeting material. NARA OCR identifies trade-agreement negotiations, a bilateral investment treaty, technical economic cooperation, finance and agriculture projects, and export credits and guarantees.","https://catalog.archives.gov/id/470760927","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-33-90001-024.pdf"
"lead-470760932","1990-01-17","NSC0036—January 17, 1990—Panama [1]","National Security Council Meeting File: NSC0036—January 17, 1990—Panama [1]","January 17, 1990","NSC meeting file","Monetary Policy, Debt, and International Institutions","Boundary","Partly released","77","","77 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","470760932","90001–029","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90001–029, NSC0036—January 17, 1990—Panama [1].","Boundary review. The first Panama packet includes a 14-page economic recovery report, President Endara's request for assistance, and material on arrears to international financial institutions, loans, guarantees, export opportunities, and aid. The Latin America volume may control placement, but the recovery and financing record warrants Volume XXX review.","https://catalog.archives.gov/id/470760932","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-36_1-90001-029.pdf"
