"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470760885","1989-02-10","1989-02-10","Catalog coverage dates","NSC0001 - February 10, 1989 - Afghanistan","90000-001","Series context and cross-volume routing","Series context","verified","3207844","3207844","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","7","24","0","6","5","0","5","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–001, NSC0001—February 10, 1989—Afghanistan.","https://catalog.archives.gov/id/470760885","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-1-90000-001.pdf"
"470760886","1989-02-21","1989-02-21","Catalog coverage dates","NSC0002 - February 21, 1989 - Covert Action Review","90000-002","Series context and cross-volume routing","Series context","verified","1785594","1785594","HTTP Content-Length","Restricted - Possibly","0","0","0","0","6","5","0","5","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–002, NSC0002—February 21, 1989—Covert Action Review.","https://catalog.archives.gov/id/470760886","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-2-90000-002.pdf"
"470760887","1989-03-14","1989-03-14","Catalog coverage dates","NSC0003 - March 14, 1989 - International Debt, Economics, International Finance","90000-003","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","17060912","17060912","HTTP Content-Length","Restricted - Possibly","6","2","0","0","51","334","67","220","11","2","5","29","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–003, NSC0003—March 14, 1989—International Debt, Economics, International Finance.","https://catalog.archives.gov/id/470760887","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-3-90000-003.pdf"
"470760888","1989-03-14","1989-03-14","Catalog coverage dates","NSC0004 - March 14, 1989 - Panama, Nicaragua, Afghanistan (File located @ LM)","90000-004","Series context and cross-volume routing","Series context","verified","393611","393611","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–004, NSC0004—March 14, 1989—Panama, Nicaragua, Afghanistan (File located @ LM).","https://catalog.archives.gov/id/470760888","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-4-90000-004.pdf"
"470760889","1989-03-15","1989-03-15","Catalog coverage dates","NSC0005 - March 15, 1989 - Fighter Support Experimental Project, Japan","90000-005","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","2785647","2785647","Catalog objectFileSize","Restricted - Possibly","0","1","0","0","14","39","4","12","5","0","9","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–005, NSC0005—March 15, 1989—Fighter Support Experimental Project, Japan.","https://catalog.archives.gov/id/470760889","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-5-90000-005.pdf"
"470760890","1989-03-18","1989-03-18","Catalog coverage dates","NSC0006 - March 18, 1989 - Fighter Support Experimental Project, Japan","90000-006","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","598713","598713","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","3","2","0","2","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–006, NSC0006—March 18, 1989—Fighter Support Experimental Project, Japan.","https://catalog.archives.gov/id/470760890","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-6-90000-006.pdf"
"470760891","1989-03-29","1989-03-29","Catalog coverage dates","NSC0007 - March 29, 1989 - Middle East Peace Process","90000-007","Series context and cross-volume routing","Series context","verified","4007863","4007863","Catalog objectFileSize","Restricted - Possibly","1","2","0","4","7","20","0","6","4","1","4","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–007, NSC0007—March 29, 1989—Middle East Peace Process.","https://catalog.archives.gov/id/470760891","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-7-90000-007.pdf"
"470760892","1989-03-30","1989-03-30","Catalog coverage dates","NSC0008 - March 30, 1989 - Western Europe, Eastern Europe","90000-008","Transition Economies and International Economic Strategy","Volume XXX review","verified","2729536","2729536","Catalog objectFileSize","Restricted - Possibly","0","0","0","1","10","37","15","8","2","0","2","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–008, NSC0008—March 30, 1989—Western Europe, Eastern Europe.","https://catalog.archives.gov/id/470760892","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-8-90000-008.pdf"
"470760893","1989-04-04","1989-04-04","Catalog coverage dates","NSC0008a - April 04, 1989 - U.S. Relations with Western Europe and Eastern Europe","90000-009","Transition Economies and International Economic Strategy","Volume XXX review","verified","4849408","4849408","Catalog objectFileSize","Restricted - Possibly","3","2","0","1","6","90","36","13","22","7","2","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–009, NSC0008a—April 04, 1989—U.S. Relations with Western Europe and Eastern Europe.","https://catalog.archives.gov/id/470760893","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-8a-90000-009.pdf"
"470760894","1989-04-05","1989-04-05","Catalog coverage dates","NSC0009 - April 05, 1989 - Review of National Security Review 3 Regarding U.S. and USSR Relations","90000-010","Transition Economies and International Economic Strategy","Volume XXX review","verified","5202064","5202064","Catalog objectFileSize","Restricted - Possibly","4","4","0","1","6","90","21","8","39","8","8","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC Meetings Files, OA/ID 90000–010, NSC0009—April 05, 1989—Review of National Security Review 3 Regarding U.S. and USSR Relations.","https://catalog.archives.gov/id/470760894","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-9-90000-010.pdf"
