"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-446396813","1989-02-13","NSD–3—February 13, 1989—U.S. Policy toward Afghanistan (File located @ LM)","National Security Directive File: NSD–3—February 13, 1989—U.S. Policy toward Afghanistan (File located @ LM)","February 13, 1989","National Security Directive file","Transition Economies and International Economic Strategy","Boundary","Online file unit; item audit pending","52","52 PDF pages; the released directive addresses humanitarian assistance, reconstruction, and the transfer of funds to AID","Mixed; document-level audit required","446396813","90003–004","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–004, NSD–3—February 13, 1989—U.S. Policy toward Afghanistan (File located @ LM).","Boundary review. The signed Afghanistan directive calls for AID-supervised humanitarian programs, reconstruction and recovery, refugee return, and priority preparation to transfer funds for relief. Route the principal regional and security record against the South Asia volume while retaining the assistance and reconstruction decisions for Volume XXX adjudication. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396813","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf"
"lead-446396815","1989-03-18","NSD–5—March 18, 1989—Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)","National Security Directive File: NSD–5—March 18, 1989—Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)","March 18, 1989","National Security Directive file","Transition Economies and International Economic Strategy","Boundary","Online file unit; item audit pending","43","43 PDF pages; the file includes the signed directive and implementation memoranda","Mixed; document-level audit required","446396815","90003–006","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–006, NSD–5—March 18, 1989—Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM).","Boundary review. The file documents presidential authorization to move funds to AID for humanitarian assistance to Afghanistan. Route the principal regional and humanitarian record against the South Asia volume while retaining the budget and assistance mechanism for Volume XXX adjudication. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396815","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf"
"lead-446396818","1989-05-01","NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [1]","National Security Directive File: NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [1]","May 1, 1989","National Security Directive file","Trade Policy and Market Access","Boundary","Online file unit; item audit pending","6","6 PDF pages; the released signed directive is available in this first folder","Mixed; document-level audit required","446396818","90003–009","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–009, NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [1].","Boundary review. The released directive makes trade, economic development, incentives, and sanctions part of the Nicaragua strategy. Route the regional policy record against the Latin America volume and retain the economic instruments for cross-volume review. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396818","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8_1-90003-009.pdf"
"lead-446396819","1989-05-01","NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [2]","National Security Directive File: NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [2]","May 1, 1989","National Security Directive file","Trade Policy and Market Access","Boundary","Online file unit; item audit pending","51","51 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","446396819","90003–010","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–010, NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [2].","Boundary review. This companion folder carries supporting and draft material for the Nicaragua directive. Compare it with the released signed copy in NAID 446396818 and retain only distinct economic-policy analysis or annotations. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396819","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8_2-90003-010.pdf"
"lead-446396821","1989-05-08","NSD–9—May 8, 1989—Actions to Respond to Polish Roundtable Agreement","National Security Directive File: NSD–9—May 8, 1989—Actions to Respond to Polish Roundtable Agreement","May 8, 1989","National Security Directive file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","26","26 PDF pages; the opening marker carries a handwritten correction to OA/ID 90003-012","Mixed; document-level audit required","446396821","90003–012","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–012, NSD–9—May 8, 1989—Actions to Respond to Polish Roundtable Agreement.","Direct Volume XXX review. The directive and supporting material address the U.S. economic response to the Polish Roundtable Agreement. Screen assistance, debt, trade, and reform measures with the Poland and transition-economy records already in the chronology. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396821","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-9-90003-012.pdf"
"lead-446396820","1989-05-11","NSD–8a—May 11, 1989—Sensitive Annex to NSD–8 re: U.S. Policy toward Nicaragua and Nicaraguan Resistance (File located @ LM)","National Security Directive File: NSD–8a—May 11, 1989—Sensitive Annex to NSD–8 re: U.S. Policy toward Nicaragua and Nicaraguan Resistance (File located @ LM)","May 11, 1989","National Security Directive file","Trade Policy and Market Access","Boundary","Online file unit; item audit pending","22","22 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","446396820","90003–011","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–011, NSD–8a—May 11, 1989—Sensitive Annex to NSD–8 re: U.S. Policy toward Nicaragua and Nicaraguan Resistance (File located @ LM).","Boundary review. The sensitive annex and associated directive material repeat and implement the trade, economic-development, sanctions, and OECD-assistance provisions of NSD-8. Compare it with NAIDs 446396818 and 446396819 and retain only distinct annex text, annotations, or distribution evidence. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396820","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8a-90003-011.pdf"
"lead-446396824","1989-06-06","NSD–12—June 6, 1989—Lifting the No-Exceptions Policy","National Security Directive File: NSD–12—June 6, 1989—Lifting the No-Exceptions Policy","June 6, 1989","National Security Directive file","Strategic Trade, Technology, and Investment Controls","Core","Online file unit; item audit pending","20","20 PDF pages; document-level release and withdrawal audit pending","Mixed; document-level audit required","446396824","90003–015","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–015, NSD–12—June 6, 1989—Lifting the No-Exceptions Policy.","Direct Volume XXX review. The directive lifts the no-exceptions licensing policy and is a direct presidential record of strategic-trade policy. Compare implementing copies with later COCOM and NSD-53 files before item-level promotion. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396824","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-12-90003-015.pdf"
"lead-446396832","1989-08-21","NSD–18—August 21, 1989—International Counternarcotics Strategy","National Security Directive File: NSD–18—August 21, 1989—International Counternarcotics Strategy","August 21, 1989","National Security Directive file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","160","160 PDF pages; the marker Folder ID differs from the Catalog OA/ID and is preserved in the ledger","Mixed; document-level audit required","446396832","90003–023","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–023, NSD–18—August 21, 1989—International Counternarcotics Strategy.","Boundary review. The international counternarcotics strategy sets Andean budgets, conditions economic assistance, seeks allied support, and calls for country economic-policy reviews. Route the principal policy record against the counternarcotics and regional volumes while retaining distinct aid and resource decisions. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396832","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-18-90003-023.pdf"
"lead-446396833","1989-08-23","NSD–18a—August 23, 1989—Annex to NSD–18 Regarding International Counternarcotics Strategy (File located @ LM)","National Security Directive File: NSD–18a—August 23, 1989—Annex to NSD–18 Regarding International Counternarcotics Strategy (File located @ LM)","August 23, 1989","National Security Directive file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","59","59 PDF pages; the opening marker carries a handwritten correction to OA/ID 90003-024","Mixed; document-level audit required","446396833","90003–024","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–024, NSD–18a—August 23, 1989—Annex to NSD–18 Regarding International Counternarcotics Strategy (File located @ LM).","Boundary review. The annex implements the international counternarcotics strategy and its assistance and resource provisions. Review it with NSD-18 and deduplicate parallel policy text. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396833","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-18a-90003-024.pdf"
"lead-446396836","1989-08-29","NSD–20—August 29, 1989—U.S. Policy toward South Asia","National Security Directive File: NSD–20—August 29, 1989—U.S. Policy toward South Asia","August 29, 1989","National Security Directive file","Trade Policy and Market Access","Boundary","Online file unit; item audit pending","45","45 PDF pages; the opening marker carries a handwritten correction to OA/ID 90003-027","Mixed; document-level audit required","446396836","90003–027","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–027, NSD–20—August 29, 1989—U.S. Policy toward South Asia.","Boundary review. The signed South Asia directive addresses assistance and reform in Pakistan and trade, sales, investment, multilateral-bank lending, and dual-use technology in relations with India. Route the regional policy record against the South Asia volume while preserving distinct foreign-economic decisions. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446396836","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-20-90003-027.pdf"
