"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446396810","1989-01-29","1989-01-29","Catalog coverage dates","NSD-1 - January 29, 1989 - Organization of the National Security Council System (File located @ LM)","90003-001","Series context and cross-volume routing","Series context","verified","90003-001","90003-001","","true","1","426767","426767","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–001, NSD–1—January 29, 1989—Organization of the National Security Council System (File located @ LM).","https://catalog.archives.gov/id/446396810","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-1-90003-001.pdf"
"446396813","1989-02-13","1989-02-13","Catalog coverage dates","NSD-3 - February 13, 1989 - U.S. Policy toward Afghanistan (File located @ LM)","90003-004","Transition Economies and International Economic Strategy","Boundary review","verified","90003-004","90003-004","","true","52","13573594","13573594","HTTP Content-Length","Restricted - Possibly","0","0","0","0","23","61","1","20","9","3","9","9","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–004, NSD–3—February 13, 1989—U.S. Policy toward Afghanistan (File located @ LM).","https://catalog.archives.gov/id/446396813","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-3-90003-004.pdf"
"446396814","1989-02-22","1989-02-22","Catalog coverage dates","NSD-4 - February 22, 1989 - U.S. Policy toward 7 May 1989 Elections in Panama (File located @ LM)","90003-005","Series context and cross-volume routing","Series context","verified","90003-005","90003-005","","true","29","8321834","8321834","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","13","46","0","12","9","1","8","8","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–005, NSD–4—February 22, 1989—U.S. Policy toward 7 May 1989 Elections in Panama (File located @ LM).","https://catalog.archives.gov/id/446396814","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-4-90003-005.pdf"
"446396815","1989-03-18","1989-03-18","Catalog coverage dates","NSD-5 - March 18, 1989 - Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM)","90003-006","Transition Economies and International Economic Strategy","Boundary review","verified","90003-006","90003-006","","true","43","8877539","8877539","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","18","64","2","16","10","2","10","10","14","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–006, NSD–5—March 18, 1989—Legislation to Authorize the Transfer of Funds to the Agency for International Development (AID) for Humanitarian Assistance to Afghanistan (File located @ LM).","https://catalog.archives.gov/id/446396815","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-5-90003-006.pdf"
"446396816","1989-03-22","1989-03-22","Catalog coverage dates","NSD-6 - March 22, 1989 - Security for U.S. Government Personnel in Panama","90003-007","Series context and cross-volume routing","Series context","verified","90003-007","90003-007","","true","34","8818468","8818468","Catalog objectFileSize","Restricted - Possibly","4","2","0","0","10","39","1","8","7","0","7","7","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–007, NSD–6—March 22, 1989—Security for U.S. Government Personnel in Panama.","https://catalog.archives.gov/id/446396816","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-6-90003-007.pdf"
"446396817","1989-04-12","1989-04-12","Catalog coverage dates","NSD-7 - April 12, 1989 - Nuclear Weapons Deployment Authorization for FY 1989 and FY 1990","90003-008","Series context and cross-volume routing","Series context","verified","90003-008","90003-008","","true","40","7190239","7190239","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","23","41","1","20","5","0","5","5","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–008, NSD–7—April 12, 1989—Nuclear Weapons Deployment Authorization for FY 1989 and FY 1990.","https://catalog.archives.gov/id/446396817","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-7-90003-008.pdf"
"446396818","1989-05-01","1989-05-01","Catalog coverage dates","NSD-8 - May 01, 1989 - U.S. Policy toward Nicaragua and Nicaraguan Resistance [1]","90003-009","Trade Policy and Market Access","Boundary review","verified","90003-009","90003-009","","true","6","2944487","2944487","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","8","3","0","2","2","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–009, NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [1].","https://catalog.archives.gov/id/446396818","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8_1-90003-009.pdf"
"446396819","1989-05-01","1989-05-01","Catalog coverage dates","NSD-8 - May 01, 1989 - U.S. Policy toward Nicaragua and Nicaraguan Resistance [2]","90003-010","Trade Policy and Market Access","Boundary review","verified","90003-010","90003-010","","true","51","12944618","12944618","HTTP Content-Length","Restricted - Possibly","2","1","0","0","16","59","4","14","11","2","9","9","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–010, NSD–8—May 1, 1989—U.S. Policy toward Nicaragua and Nicaraguan Resistance [2].","https://catalog.archives.gov/id/446396819","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8_2-90003-010.pdf"
"446396822","1989-05-07","1989-05-07","Catalog coverage dates","NSD-10 - May 07, 1989 - Creation of New Policy Coordinating Committees (File located @ LM)","90003-013","Series context and cross-volume routing","Series context","verified with handwritten correction","90003-012","90003-013","90003-012 crossed out; corrected by hand to 90003-013","true","1","426659","426659","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–013, NSD–10—May 7, 1989—Creation of New Policy Coordinating Committees (File located @ LM).","https://catalog.archives.gov/id/446396822","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-10-90003-013.pdf"
"446396821","1989-05-08","1989-05-08","Catalog coverage dates","NSD-9 - May 08, 1989 - Actions to Respond to Polish Roundtable Agreement","90003-012","Transition Economies and International Economic Strategy","Volume XXX review","verified with handwritten correction","90003-011","90003-012","90003-011 crossed out; corrected by hand to 90003-012","true","26","6884065","6884065","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","8","41","1","12","9","0","6","6","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–012, NSD–9—May 8, 1989—Actions to Respond to Polish Roundtable Agreement.","https://catalog.archives.gov/id/446396821","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-9-90003-012.pdf"
"446396820","1989-05-11","1989-05-11","Catalog coverage dates","NSD-8a - May 11, 1989 - Sensitive Annex to NSD-8 re: U.S. Policy toward Nicaragua and Nicaraguan Resistance (File located @ LM)","90003-011","Trade Policy and Market Access","Boundary review","verified","90003-011","90003-011","","true","22","8115865","8115865","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","3","51","3","2","12","3","10","10","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–011, NSD–8a—May 11, 1989—Sensitive Annex to NSD–8 re: U.S. Policy toward Nicaragua and Nicaraguan Resistance (File located @ LM).","https://catalog.archives.gov/id/446396820","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-8a-90003-011.pdf"
"446396823","1989-05-24","1989-05-24","Withdrawal sheet date for signed NSD","NSD-11 - ..... - Classified Title (File located @ LM)","90003-014","Series context and cross-volume routing","Series context","verified","90003-014","90003-014","Source image shows 90003-014; NARA OCR omitted the Folder ID","true","24","8731264","8731264","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","8","49","1","7","10","1","10","10","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSD Files, OA/ID 90003–014, NSD–11—.....—Classified Title (File located @ LM).","https://catalog.archives.gov/id/446396823","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSDs_313189290/41-bpr-nsc-hfiles-nsd-11-90003-014.pdf"
