"id","date","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","extentLabel","classification","naid","localId","sourceNoteStatus","archivalLocator","notes","catalogUrl","pdfUrl"
"lead-446394925","1989-02-15","NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [1]","National Security Review File: NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [1]","February 15, 1989","National Security Review file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","74","74 PDF pages; withdrawal sheets identify a 4-page Secret draft NSR and supporting review memoranda","Mixed; document-level audit required","446394925","90006–003","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–003, NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [1].","Direct Volume XXX review. The signed review directive treats Soviet domestic economic change as a central strategic variable. Screen its economic-policy questions and work-program material with the response file and with NSC Meeting file NAID 470760894; deduplicate the parallel NSR-3 copies before item-level promotion. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394925","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-3_1-90006-003.pdf"
"lead-446394926","1989-02-15","NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [2]","National Security Review File: NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [2]","February 15, 1989","National Security Review file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","58","58 PDF pages; withdrawal sheets identify a 31-page Secret NSR-3 policy paper plus recommended-policy and near-term-initiative papers","Mixed; document-level audit required","446394926","90006–004","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–004, NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [2].","Direct Volume XXX review. This response file contains recommended policies, near-term initiatives, and the principal NSR-3 study. Compare it with the 31-page review and related documents in NSC Meeting file NAID 470760894 and Tim Deal file NAID 452050608. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394926","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-3_2-90006-004.pdf"
"lead-446394927","1989-02-15","NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [1]","National Security Review File: NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [1]","February 15, 1989","National Security Review file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","82","82 PDF pages; withdrawal sheet identifies a 32-page Secret executive summary and a 9-page Secret draft Europe directive","Mixed; document-level audit required","446394927","90006–005","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–005, NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [1].","Direct Volume XXX review. The directive and review materials examine economic reform, differentiation, assistance, trade, credits, and other sources of U.S. leverage in Eastern Europe. Compare the later Europe directive material against the NSD series before retaining a separate copy. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394927","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-4_1-90006-005.pdf"
"lead-446394928","1989-02-15","NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [2]","National Security Review File: NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [2]","February 15, 1989","National Security Review file","Transition Economies and International Economic Strategy","Core","Online file unit; item audit pending","30","30 PDF pages; withdrawal sheet identifies a 32-page Secret executive summary, a 6-page Secret Rice-Scowcroft meeting memorandum, and a 2-page Deputies Committee summary","Mixed; document-level audit required","446394928","90006–006","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–006, NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [2].","Direct Volume XXX review. This companion file holds the NSR-4 study, presidential meeting preparation, and a Deputies Committee summary. Compare it with NSC Meeting file NAID 470760893 and retain only distinct copies or annotations. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394928","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-4_2-90006-006.pdf"
"lead-446394929","1989-02-15","NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [1]","National Security Review File: NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [1]","February 15, 1989","National Security Review file","Trade Policy and Market Access","Core","Online file unit; item audit pending","45","45 PDF pages; withdrawal sheet identifies a 13-page Secret paper on European Unity and the 1992 Program","Mixed; document-level audit required","446394929","90006–007","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–007, NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [1].","Direct Volume XXX review. The folder contains a discrete study of European unity and the EC 1992 program, making it a direct trade and market-access lead. Review it with the April 4 Europe NSC packet, NAID 470760893, and the Western Europe compilation. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394929","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-5_1-90006-007.pdf"
"lead-446394930","1989-02-15","NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [2]","National Security Review File: NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [2]","February 15, 1989","National Security Review file","Trade Policy and Market Access","Core","Online file unit; item audit pending","28","28 PDF pages; withdrawal sheet identifies a 27-page Secret NSR-5 review, a 13-page Secret EC 1992 paper, and 8-page Top Secret NSC minutes","Mixed; document-level audit required","446394930","90006–008","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–008, NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [2].","Direct Volume XXX review. The NSR-5 response and repeated EC 1992 study address the economic implications of European integration. The file also carries April 5 U.S.-Soviet NSC minutes that should be deduplicated against NAID 470760894 rather than treated as a second meeting record. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394930","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-5_2-90006-008.pdf"
"lead-446394935","1989-02-22","NSR-10—February 22, 1989—U.S. Policy Toward the Persian Gulf","National Security Review File: NSR-10—February 22, 1989—U.S. Policy Toward the Persian Gulf","February 22, 1989","National Security Review file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","40","40 PDF pages; withdrawal sheet identifies a 27-page Secret Persian Gulf review and documents the handwritten Folder ID correction","Mixed; document-level audit required","446394935","90006–013","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–013, NSR-10—February 22, 1989—U.S. Policy Toward the Persian Gulf.","Boundary review. The Persian Gulf review addresses oil supply, energy security, and the economic consequences of regional policy. Route the principal record against the Gulf volume. The opening marker says 90006-010; the first withdrawal sheet crosses that out and supplies the Catalog Folder ID 90006-013. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394935","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-10-90006-013.pdf"
"lead-446394933","1989-02-22","NSR-8—February 22, 1989—U.S. Policy Toward South Asia","National Security Review File: NSR-8—February 22, 1989—U.S. Policy Toward South Asia","February 22, 1989","National Security Review file","Trade Policy and Market Access","Core","Online file unit; item audit pending","95","95 PDF pages; withdrawal sheets identify a 24-page Secret South Asia study and a 4-page Confidential Super 301 report, each represented in parallel copies","Mixed; document-level audit required","446394933","90006–011","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–011, NSR-8—February 22, 1989—U.S. Policy Toward South Asia.","Direct Volume XXX review. The South Asia review file contains a separately identified Super 301 report in addition to the regional study. Screen that trade paper for Volume XXX while routing the principal regional policy record to the South Asia volume. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394933","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf"
"lead-446394946","1989-03-29","NSR-13—March 29, 1989—National Security Review of International Counternarcotics Activities","National Security Review File: NSR-13—March 29, 1989—National Security Review of International Counternarcotics Activities","March 29, 1989","National Security Review file","Monetary Policy, Debt, and International Institutions","Boundary","Online file unit; item audit pending","59","59 PDF pages; withdrawal sheets identify a 4-page Confidential NSR and multiple Confidential presidential and staff memoranda","Mixed; document-level audit required","446394946","90006–024","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–024, NSR-13—March 29, 1989—National Security Review of International Counternarcotics Activities.","Boundary review. The initiating review and Scowcroft-Beers-Addis memoranda frame international counternarcotics programs, authorities, assistance, and resource choices. Route the principal policy record against the counternarcotics and regional volumes. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394946","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-13-90006-024.pdf"
"lead-446394953","1989-04-10","NSR-15—April 10, 1989—South Africa[1]","National Security Review File: NSR-15—April 10, 1989—South Africa[1]","April 10, 1989","National Security Review file","Strategic Trade, Technology, and Investment Controls","Boundary","Online file unit; item audit pending","73","73 PDF pages; withdrawal sheet identifies 36-page and 35-page Secret South Africa review papers","Mixed; document-level audit required","446394953","90007–001","locator","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–001, NSR-15—April 10, 1989—South Africa[1].","Boundary review. The South Africa review weighs sanctions, trade, investment, and economic leverage. Route the principal regional decision record against the Africa volume while retaining distinct economic-policy analysis for Volume XXX review. Promote individual documents only after the heading, dateline, terminal marking, and release or withdrawal status are checked in the source images.","https://catalog.archives.gov/id/446394953","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-15_1-90007-001.pdf"
