"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446394923","1989-02-07","1989-02-07","Catalog coverage dates","NSR-1 - February 07, 1989 - Afghanistan","90006-001","Series context and cross-volume routing","Series context","verified","90006-001","90006-001","","true","8616015","8616015","HTTP Content-Length","Restricted - Possibly","3","3","0","0","3","26","6","1","5","0","5","4","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–001, NSR-1—February 07, 1989—Afghanistan.","https://catalog.archives.gov/id/446394923","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-1-90006-001.pdf"
"446394924","1989-02-13","1989-02-13","Catalog coverage dates","NSR-2 - February 13, 1989 - Panama (File located @ LM)","90006-002","Series context and cross-volume routing","Series context","verified","90006-002","90006-002","","true","9292111","9292111","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","23","50","1","21","6","4","6","6","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–002, NSR-2—February 13, 1989—Panama (File located @ LM).","https://catalog.archives.gov/id/446394924","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-2-90006-002.pdf"
"446394925","1989-02-15","1989-02-15","Catalog coverage dates","NSR-3 - February 15, 1989 - Comprehensive Review of U.S.-Soviet Relations [1]","90006-003","Transition Economies and International Economic Strategy","Volume XXX review","verified","90006-003","90006-003","","true","20996824","20996824","HTTP Content-Length","Restricted - Possibly","4","3","0","0","5","71","17","3","11","0","11","13","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–003, NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [1].","https://catalog.archives.gov/id/446394925","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-3_1-90006-003.pdf"
"446394926","1989-02-15","1989-02-15","Catalog coverage dates","NSR-3 - February 15, 1989 - Comprehensive Review of U.S.-Soviet Relations [2]","90006-004","Transition Economies and International Economic Strategy","Volume XXX review","verified","90006-004","90006-004","","true","9213548","9213548","Catalog objectFileSize","Restricted - Possibly","0","2","0","0","6","64","9","4","16","0","7","11","17","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–004, NSR-3—February 15, 1989—Comprehensive Review of U.S.-Soviet Relations [2].","https://catalog.archives.gov/id/446394926","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-3_2-90006-004.pdf"
"446394927","1989-02-15","1989-02-15","Catalog coverage dates","NSR-4 - February 15, 1989 - Comprehensive Review of U.S.-East European Relations [1]","90006-005","Transition Economies and International Economic Strategy","Volume XXX review","verified","90006-005","90006-005","","true","23961572","23961572","HTTP Content-Length","Restricted - Possibly","3","1","0","0","6","141","21","12","26","4","21","26","31","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–005, NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [1].","https://catalog.archives.gov/id/446394927","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-4_1-90006-005.pdf"
"446394928","1989-02-15","1989-02-15","Catalog coverage dates","NSR-4 - February 15, 1989 - Comprehensive Review of U.S.-East European Relations [2]","90006-006","Transition Economies and International Economic Strategy","Volume XXX review","verified","90006-006","90006-006","","true","5162882","5162882","Catalog objectFileSize","Restricted - Possibly","4","2","0","2","4","60","25","16","7","8","0","2","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–006, NSR-4—February 15, 1989—Comprehensive Review of U.S.-East European Relations [2].","https://catalog.archives.gov/id/446394928","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-4_2-90006-006.pdf"
"446394929","1989-02-15","1989-02-15","Catalog coverage dates","NSR-5 - February 15, 1989 - Comprehensive Review of U.S.-West European Relations [1]","90006-007","Trade Policy and Market Access","Volume XXX review","verified","90006-007","90006-007","","true","13031507","13031507","HTTP Content-Length","Restricted - Possibly","4","1","0","0","6","104","19","7","26","0","14","20","18","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–007, NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [1].","https://catalog.archives.gov/id/446394929","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-5_1-90006-007.pdf"
"446394930","1989-02-15","1989-02-15","Catalog coverage dates","NSR-5 - February 15, 1989 - Comprehensive Review of U.S.-West European Relations [2]","90006-008","Trade Policy and Market Access","Volume XXX review","verified","90006-008","90006-008","","true","7109525","7109525","HTTP Content-Length","Restricted - Possibly","0","3","0","0","9","34","0","8","7","0","5","7","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–008, NSR-5—February 15, 1989—Comprehensive Review of U.S.-West European Relations [2].","https://catalog.archives.gov/id/446394930","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-5_2-90006-008.pdf"
"446394931","1989-02-15","1989-02-15","Catalog coverage dates","NSR-6 - February 15, 1989 - Nicaragua (File located @ NLMS)","90006-009","Series context and cross-volume routing","Series context","verified","90006-009","90006-009","","true","376086","376086","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–009, NSR-6—February 15, 1989—Nicaragua (File located @ NLMS).","https://catalog.archives.gov/id/446394931","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-6-90006-009.pdf"
"446394932","1989-02-21","1989-02-21","Catalog coverage dates","NSR-7 - February 21, 1989 - Middle East Peace Process","90006-010","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90006-007","90006-010","90006-007 on the marker; 90006-010 in the Catalog and digital-object path","true","9072891","9072891","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","12","39","3","12","6","0","6","6","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–010, NSR-7—February 21, 1989—Middle East Peace Process.","https://catalog.archives.gov/id/446394932","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-7-90006-010.pdf"
