"id","date","displayDateLabel","datePrecision","title","seriesTitle","heading","dateline","type","subjectArea","selection","releaseStatus","extentLabel","classification","naid","localId","sourceNoteStatus","sourceNoteBasis","archivalLocator","topics","notes","catalogUrl","pdfUrl"
"policy-development-653628647","1989-01-01","January-February 1989","range","Porter - Jan-Feb-89 [January-February 1989]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Jan-Feb-89 [January-February 1989]","January-February 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628647","05841–001","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–001, Porter - Jan-Feb-89 [January-February 1989].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628647","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-001.pdf"
"policy-development-509546686","1989-01-01","January 1, 1989-December 31, 1989","range","Steel VRA - POTUS Decision (1989)","Warren Maruyama Subject Files","White House Office of Policy Development File: Steel VRA - POTUS Decision (1989)","January 1, 1989-December 31, 1989","White House Office of Policy Development file","Trade Policy and Market Access","Core","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509546686","07408–011","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Warren Maruyama Subject Files, OA/ID 07408–011, Steel VRA - POTUS Decision (1989).","White House Office of Policy Development; Warren Maruyama Subject Files","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509546686",""
"policy-development-509548133","1989-01-01","January 1, 1989-December 31, 1989","range","Trade Chron Files: 1989","Stephen P. Farrar Trade Files","White House Office of Policy Development File: Trade Chron Files: 1989","January 1, 1989-December 31, 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Catalog file unit; on-site document review required","On-site file unit; document and page extents not established","Not determined at document level","509548133","CF01119–001","locator","Collection provenance checked on page 1 of the Bush Library finding aid and the file-unit hierarchy checked in the NARA Catalog. No online PDF is available; this remains an archival locator pending on-site document review.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–001, Trade Chron Files: 1989.","White House Office of Policy Development; Stephen P. Farrar Trade Files; Trade policy","Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/509548133",""
"policy-development-653628649","1989-03-01","March 1989","month","Porter - Mar 89 [March 1989]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Mar 89 [March 1989]","March 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628649","05841–002","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–002, Porter - Mar 89 [March 1989].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628649","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-002.pdf"
"policy-development-653628651","1989-04-01","April 1989","month","Porter - Apr-89 [April 1989]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Apr-89 [April 1989]","April 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628651","05841–003","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–003, Porter - Apr-89 [April 1989].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628651","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-003.pdf"
"policy-development-653628653","1989-05-01","May-June 1989","range","Porter - May-June-89 [1989]","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - May-June-89 [1989]","May-June 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628653","05841–004","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–004, Porter - May-June-89 [1989].","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628653","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-004.pdf"
"policy-development-653628655","1989-07-01","July 1989","month","July 1989 Porter","Roger Porter's Chronological Files","White House Office of Policy Development File: July 1989 Porter","July 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628655","05841–005","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–005, July 1989 Porter.","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Partly.","https://catalog.archives.gov/id/653628655","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-005.pdf"
"policy-development-285411053","1989-07-01","July 1989","month","Global Climate Research [Our Changing Planet: The FY 1990 Research Plan 7/89] [2 copies]","Ed Goldstein Subject Files","White House Office of Policy Development File: Global Climate Research [Our Changing Planet: The FY 1990 Research Plan 7/89] [2 copies]","July 1989","White House Office of Policy Development file","Economic Summits and Industrialized-Country Cooperation","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","285411053","06682–021","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06682–021, Global Climate Research [Our Changing Planet: The FY 1990 Research Plan 7/89] [2 copies].","White House Office of Policy Development; Ed Goldstein Subject Files","Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Restricted - Possibly.","https://catalog.archives.gov/id/285411053","https://catalog.archives.gov/medialz/presidential-libraries/bush/foia/2017/41-bpr-poldev-goldstein-06682-021.pdf"
"policy-development-653628657","1989-08-01","August 1989","month","Porter - Aug [August] 1989","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter - Aug [August] 1989","August 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628657","05841–006","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–006, Porter - Aug [August] 1989.","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628657","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-006.pdf"
"policy-development-653628659","1989-09-01","September 1989","month","Porter -  Sept [September] 1989","Roger Porter's Chronological Files","White House Office of Policy Development File: Porter -  Sept [September] 1989","September 1989","White House Office of Policy Development file","Trade Policy and Market Access","Consider","Online file unit; document boundaries not yet split","Online PDF; page extent and document boundaries not yet verified","Not determined at document level","653628659","05841–007","locator","Collection provenance checked on page 1 of the Bush Library finding aid; opening file-marker text checked in NARA OCR. This remains a file-unit locator pending document identity, heading, dateline, extent, release state, terminal markings, and controlling-copy review in the source images.","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–007, Porter -  Sept [September] 1989.","White House Office of Policy Development; Roger Porter's Chronological Files","Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness. Access status in the Catalog: Unrestricted.","https://catalog.archives.gov/id/653628659","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-007.pdf"
