naid,localId,seriesNaid,seriesLocalId,seriesTitle,containerId,title,workingStartDate,workingEndDate,workingDateLabel,datePrecision,dateBasis,chapter,selection,routing,accessStatus,accessRestrictionNote,useStatus,markerStatus,markerRecordGroup,markerOffice,markerSeries,markerSubseries,markerOaId,markerFolderId,objectId,pdfBytes,ocrCharacterCount,memosToPresident,memosToScowcroft,memosToPorter,memorandaOfConversation,meetingRecords,withdrawalSheets,economicSignalTotal,tradeSignals,financeSignals,summitsSignals,transitionSignals,controlsSignals,reviewTopics,reviewFocus,economicSubjectLeads,archivalLocator,catalogUrl,pdfUrl
653628647,05841-001,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/1,Porter - Jan-Feb-89 [January-February 1989],1989-01-01,1989-02-28,January-February 1989,range,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-001,653628648,65619652,330984,0,0,13,0,0,0,2,0,0,0,0,2,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–001, Porter - Jan-Feb-89 [January-February 1989].",https://catalog.archives.gov/id/653628647,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-001.pdf
509548133,CF01119-001,506211263,GB-POD-014,Stephen P. Farrar Trade Files,CF01119,Trade Chron Files: 1989,1989-01-01,1989-12-31,"January 1, 1989-December 31, 1989",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Volume XXX review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Stephen P. Farrar Trade Files | Trade policy,"Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–001, Trade Chron Files: 1989.",https://catalog.archives.gov/id/509548133,
509546686,07408-011,2600865,GB-POD-032,Warren Maruyama Subject Files,07408,Steel VRA - POTUS Decision (1989),1989-01-01,1989-12-31,"January 1, 1989-December 31, 1989",range,Catalog coverage dates,Trade Policy and Market Access,Core,Volume XXX review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Warren Maruyama Subject Files,"Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Warren Maruyama Subject Files, OA/ID 07408–011, Steel VRA - POTUS Decision (1989).",https://catalog.archives.gov/id/509546686,
653628649,05841-002,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/1,Porter - Mar 89 [March 1989],1989-03-01,1989-03-31,March 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-002,653628650,62533128,251871,6,0,46,0,0,0,24,19,1,1,3,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","The Japan-United States Relations Group | THE JAPAN-UNITED STATES RELATIONS GROUP | lationship between Japan and the United States, including | dundant and its voice insignificant among the other U.S. -Japan | lations, the American side of the U.S.-Japan Business Conference, | lationships, indeed these relationships in Japan are probably | quires that we take action under section 301 to obtain the","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–002, Porter - Mar 89 [March 1989].",https://catalog.archives.gov/id/653628649,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-002.pdf
653628651,05841-003,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/1,Porter - Apr-89 [April 1989],1989-04-01,1989-04-30,April 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-003,653628652,60844124,282619,0,3,39,0,0,0,24,6,3,15,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–003, Porter - Apr-89 [April 1989].",https://catalog.archives.gov/id/653628651,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-003.pdf
653628653,05841-004,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/1,Porter - May-June-89 [1989],1989-05-01,1989-06-30,May-June 1989,range,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-004,653628654,61737056,249074,0,1,51,0,0,0,39,8,11,4,16,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",lations with the European Community.,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–004, Porter - May-June-89 [1989].",https://catalog.archives.gov/id/653628653,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-004.pdf
285411053,06682-021,2600820,GB-POD-022,Ed Goldstein Subject Files,06682,Global Climate Research [Our Changing Planet: The FY 1990 Research Plan 7/89] [2 copies],1989-07-01,1989-07-31,July 1989,month,Explicit folder-title date,Economic Summits and Industrialized-Country Cooperation,Consider,Selective review,Restricted - Possibly,Records may be closed under restrictions of the Presidential Records Act and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific closures and restrictions.,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Goldstein, Ed, Files",,06682,06682-021,285411054,1234,546366,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Ed Goldstein Subject Files,"Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","search to quantitatively link radiative change and climate change. The specific focus will be to | sponse to climate change) and, also, the effect of the neotectonic history of the land on ice | sponse to global warming and the contribution of newly released ""greenhouse"" gases to the atmos- | gional climate change. The research addresses questions of climate response to forcings and | gional Climate Change Effects. To investigate the effect of changing climate on ecosystem","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06682–021, Global Climate Research [Our Changing Planet: The FY 1990 Research Plan 7/89] [2 copies].",https://catalog.archives.gov/id/285411053,https://catalog.archives.gov/medialz/presidential-libraries/bush/foia/2017/41-bpr-poldev-goldstein-06682-021.pdf
653628655,05841-005,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,July 1989 Porter,1989-07-01,1989-07-31,July 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Restricted - Partly,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-005,653628656,18025516,74549,0,0,13,0,0,2,32,27,3,2,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","st of the world. The steel VRAs, for example, require U.S. | U.S.-Japan Structural Impediments Initiative (SII)","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–005, July 1989 Porter.",https://catalog.archives.gov/id/653628655,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-005.pdf
653628657,05841-006,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Aug [August] 1989,1989-08-01,1989-08-31,August 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-006,653628658,30779420,118868,5,2,37,4,0,0,25,22,0,2,0,1,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","moved U.S. -Japan trade issues from the top of the political | commended that Japan continue policies designed to | moving Japanese trade barriers, but on the whole the | sult of deadlines on Super 301 and the Structural | sults. It is, however, important that SII produce some | spond to global warming. The measures include a framework | Delivery of Special Message to Japan/USA Conference","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–006, Porter - Aug [August] 1989.",https://catalog.archives.gov/id/653628657,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-006.pdf
653628659,05841-007,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter -  Sept [September] 1989,1989-09-01,1989-09-30,September 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-007,653628660,29271008,144513,0,0,28,0,0,0,16,1,6,6,2,1,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–007, Porter -  Sept [September] 1989.",https://catalog.archives.gov/id/653628659,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-007.pdf
653628661,05841-008,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Oct [October] 1989,1989-10-01,1989-10-31,October 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-008,653628662,54169384,251312,0,0,31,1,0,0,31,19,2,0,10,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","cent visit to the Soviet Union. This was the first visit by | ad: ""and enhance our global climate change research program.""","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–008, Porter - Oct [October] 1989.",https://catalog.archives.gov/id/653628661,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-008.pdf
509545336,04153-019,2600856,GB-POD-031,Nancy Maloley Subject Files,04153,DPC Global Warming Meeting - 10/20/89,1989-10-20,1989-10-20,"October 20, 1989",day,Explicit folder-title date,Economic Summits and Industrialized-Country Cooperation,Consider,Selective review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Nancy Maloley Subject Files | Global environment,"Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Nancy Maloley Subject Files, OA/ID 04153–019, DPC Global Warming Meeting - 10/20/89.",https://catalog.archives.gov/id/509545336,
653628663,05841-009,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Nov [November] 1989,1989-11-01,1989-11-30,November 1989,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-009,653628664,31514456,138844,1,0,28,0,0,0,34,21,4,0,2,7,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.","gional focus on Taiwan and Korea, drawing together several | gulation from the United States, Taiwan, and Korea; government | ciprocal Trade Agreements in the 1930s to","George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–009, Porter - Nov [November] 1989.",https://catalog.archives.gov/id/653628663,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-009.pdf
