naid,localId,seriesNaid,seriesLocalId,seriesTitle,containerId,title,workingStartDate,workingEndDate,workingDateLabel,datePrecision,dateBasis,chapter,selection,routing,accessStatus,accessRestrictionNote,useStatus,markerStatus,markerRecordGroup,markerOffice,markerSeries,markerSubseries,markerOaId,markerFolderId,objectId,pdfBytes,ocrCharacterCount,memosToPresident,memosToScowcroft,memosToPorter,memorandaOfConversation,meetingRecords,withdrawalSheets,economicSignalTotal,tradeSignals,financeSignals,summitsSignals,transitionSignals,controlsSignals,reviewTopics,reviewFocus,economicSubjectLeads,archivalLocator,catalogUrl,pdfUrl
509545843,06672-003,2600820,GB-POD-022,Ed Goldstein Subject Files,06672,NASA Transition 1980,1980-01-01,1980-12-31,"January 1, 1980-December 31, 1980",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Ed Goldstein Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06672–003, NASA Transition 1980.",https://catalog.archives.gov/id/509545843,
509546091,06869-007,2600783,GB-POD-005,Todd Buchholz' Subject Files,06869,The National Energy Policy Plan October 1983,1983-10-01,1983-10-31,"October 1, 1983-October 31, 1983",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Todd Buchholz' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Todd Buchholz' Subject Files, OA/ID 06869–007, The National Energy Policy Plan October 1983.",https://catalog.archives.gov/id/509546091,
509547176,08191-015,2600847,GB-POD-029,Johannes Kuttner Subject Files,08191,"Health Care Reform Publications [15] [Increases in Health Insurance Coverage Among Small Firms, 1986-1988]",1986-01-01,1988-12-31,"January 1, 1986-December 31, 1988",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Johannes Kuttner Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Johannes Kuttner Subject Files, OA/ID 08191–015, Health Care Reform Publications [15] [Increases in Health Insurance Coverage Among Small Firms, 1986-1988].",https://catalog.archives.gov/id/509547176,
509548027,23352-015,2600868,GB-POD-034,Emily Mead Subject Files,23352,"Press Conference, Lisbon, Portugal, March 9, 1986 [3/9/86]",1986-03-09,1986-03-09,"March 9, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–015, Press Conference, Lisbon, Portugal, March 9, 1986 [3/9/86].",https://catalog.archives.gov/id/509548027,
509548037,23352-083,2600868,GB-POD-034,Emily Mead Subject Files,23352,"Arrival Manama, Bahrain, April 7, 1986",1986-04-07,1986-04-07,"April 7, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–083, Arrival Manama, Bahrain, April 7, 1986.",https://catalog.archives.gov/id/509548037,
509548028,23352-031,2600868,GB-POD-034,Emily Mead Subject Files,23352,Polish National Alliance Chicago Illinois 5/2/86,1986-05-02,1986-05-02,"May 2, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–031, Polish National Alliance Chicago Illinois 5/2/86.",https://catalog.archives.gov/id/509548028,
509548029,23352-035,2600868,GB-POD-034,Emily Mead Subject Files,23352,Cuban Independence Day Luncheon Miami Florida 5/20/86,1986-05-20,1986-05-20,"May 20, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–035, Cuban Independence Day Luncheon Miami Florida 5/20/86.",https://catalog.archives.gov/id/509548029,
509548030,23352-040,2600868,GB-POD-034,Emily Mead Subject Files,23352,"Chagal Hall, The Knesset Jerusalem Israel 7/30/86",1986-07-30,1986-07-30,"July 30, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–040, Chagal Hall, The Knesset Jerusalem Israel 7/30/86.",https://catalog.archives.gov/id/509548030,
509548031,23352-046,2600868,GB-POD-034,Emily Mead Subject Files,23352,Council of Jewish Federations Chicago Illinois 11/15/86,1986-11-15,1986-11-15,"November 15, 1986",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23352–046, Council of Jewish Federations Chicago Illinois 11/15/86.",https://catalog.archives.gov/id/509548031,
509547959,23338-002,2600868,GB-POD-034,Emily Mead Subject Files,23338,Republican Presidential Debates 1987 - 1988 [1],1987-01-01,1988-12-31,"January 1, 1987-December 31, 1988",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Emily Mead Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Emily Mead Subject Files, OA/ID 23338–002, Republican Presidential Debates 1987 - 1988 [1].",https://catalog.archives.gov/id/509547959,
