"naid","workingStartDate","workingEndDate","workingDateLabel","dateBasis","title","localId","seriesNaid","seriesTitle","chapter","routing","reviewTopics","reviewFocus","reviewKeyExtent","markerStatus","markerRecordGroup","markerSeries","markerSubseries","hasOnlinePdf","pdfPages","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","ocrCharacterCount","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","provenanceStem","catalogUrl","pdfUrl"
"366552191","1988-10-01","1988-10-31","October 1988","Folder title month","October 1988","85040-001","74785827","Brent Scowcroft Media Articles Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Media Articles Files","","true","0","3878266","1234","HTTP Content-Length","Restricted - Possibly","20096","0","0","0","0","0","4","2","0","0","0","0","0","2","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–001, October 1988.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–001, October 1988.","https://catalog.archives.gov/id/366552191","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785827/41-bpr-scow-ma-85040-001.pdf"
"366552192","1988-11-01","1988-11-30","November 1988","Folder title month","November 1988","85040-002","74785827","Brent Scowcroft Media Articles Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Media Articles Files","","true","0","26470752","1234","HTTP Content-Length","Restricted - Possibly","185200","0","0","0","0","0","54","8","7","7","0","6","4","21","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–002, November 1988.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–002, November 1988.","https://catalog.archives.gov/id/366552192","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785827/41-bpr-scow-ma-85040-002.pdf"
"366552193","1988-12-01","1988-12-31","December 1988","Folder title month","December 1988","85040-003","74785827","Brent Scowcroft Media Articles Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Media Articles Files","","true","0","22219963","1234","HTTP Content-Length","Restricted - Possibly","156464","0","0","0","0","0","98","8","29","27","0","3","13","18","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–003, December 1988.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–003, December 1988.","https://catalog.archives.gov/id/366552193","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785827/41-bpr-scow-ma-85040-003.pdf"
"366552194","1989-01-01","1989-01-31","January 1989","Folder title month","January 1989","85040-004","74785827","Brent Scowcroft Media Articles Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Media Articles Files","","true","0","27904243","1234","HTTP Content-Length","Restricted - Possibly","230576","0","0","0","0","0","74","29","13","13","3","4","0","12","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–004, January 1989.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Media Articles Files, OA/ID 85040–004, January 1989.","https://catalog.archives.gov/id/366552194","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785827/41-bpr-scow-ma-85040-004.pdf"
"366552239","1989-01-01","1989-01-31","January 1989","Folder title month","January 1989","85046-001","74785753","Brent Scowcroft Scheduled Calls Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Scheduled Calls Files","","true","0","5136606","1234","HTTP Content-Length","Restricted - Possibly","23629","0","0","0","0","0","17","0","10","2","0","1","0","4","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Scheduled Calls Files, OA/ID 85046–001, January 1989.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Scheduled Calls Files, OA/ID 85046–001, January 1989.","https://catalog.archives.gov/id/366552239","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785753/41-bpr-scow-schcalls-85046-001.pdf"
"366552288","1989-01-01","1989-02-28","January 1989-February 1989","Folder title month range","January 1989 to February 1989","85050-001","74785758","Brent Scowcroft Schedule Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Schedule Files","","true","0","2180841","1234","HTTP Content-Length","Restricted - Possibly","9923","0","0","0","0","5","4","0","4","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Schedule Files, OA/ID 85050–001, January 1989 to February 1989.","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Schedule Files, OA/ID 85050–001, January 1989 to February 1989.","https://catalog.archives.gov/id/366552288","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785758/41-bpr-scow-schedule-85050-001.pdf"
"366551990","1989-01-01","1989-03-31","January-March 1989","Folder title month range","Other (January-March 1989)","91148-001","4708326","Chronological Files","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","G-7; Paris Economic Summit; EC 1992; Trade and market access; Debt and international finance; Economic summits and G-7; Energy; Agriculture","The folder lists the January 31 paper on the U.S. position at the G-7, background papers on EC 1992, the February 28 paper on next steps for the Paris Economic Summit, and Scowcroft memoranda on summit preparations.","The official file-unit PDF is online. This collection-wide pass did not establish its served-PDF page count or item boundaries; page totals on withdrawal sheets describe individual entries, not the complete file unit.","verified","George H.W. Bush Presidential Records","Chronological Files","","true","0","32993861","32993860","HTTP Content-Length","Restricted - Possibly","137227","4","12","0","0","5","189","68","37","22","5","1","6","23","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Chronological Files, OA/ID 91148–001, Other (January—March 1989).","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Chronological Files, OA/ID 91148–001, Other (January—March 1989).","https://catalog.archives.gov/id/366551990","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4708326/41-bpr-scow-chron-91148-001.pdf"
"366551738","1989-01-01","1989-04-30","January-April 1989","Folder title month range","USSR Collapse: U.S.--Soviet Relations Thru 1991 (January-April 1989)","91117-001","4545954","USSR Collapse Files","Series context and cross-volume routing","Series context","","","","verified","George H.W. Bush Presidential Records","USSR Collapse Files","U.S - Soviet Relations Chronological Files","true","0","23284911","23284912","HTTP Content-Length","Restricted - Possibly","92190","5","12","0","0","3","109","42","4","25","5","1","1","0","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, USSR Collapse Files, U.S - Soviet Relations Chronological Files, OA/ID 91117–001, USSR Collapse: U.S—Soviet Relations Thru 1991 (January—April 1989).","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, USSR Collapse Files, U.S - Soviet Relations Chronological Files, OA/ID 91117–001, USSR Collapse: U.S—Soviet Relations Thru 1991 (January—April 1989).","https://catalog.archives.gov/id/366551738","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/4545954/41-bpr-scow-ussrco-ussrl-91117-001.pdf"
"366552141","1989-01-01","1989-06-30","January-June 1989","Folder title month range","Appointments Completed, January to June 1989 [1]","85033-007","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","47726276","1234","HTTP Content-Length","Restricted - Possibly","177901","0","5","0","0","18","112","32","33","26","0","11","0","6","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85033–007, Appointments Completed, January to June 1989 [1].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85033–007, Appointments Completed, January to June 1989 [1].","https://catalog.archives.gov/id/366552141","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85033-007.pdf"
"366552142","1989-01-01","1989-06-30","January-June 1989","Folder title month range","Appointments Completed, January to June 1989 [2]","85033-008","74785770","Brent Scowcroft Administrative Files","Series context and cross-volume routing","Reference context","","","","verified","George H.W. Bush Presidential Records","Administrative Files","","true","0","50067475","1234","HTTP Content-Length","Restricted - Possibly","195066","0","9","0","0","10","45","8","14","12","2","4","0","2","George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85033–008, Appointments Completed, January to June 1989 [2].","Source: George H.W. Bush Library, Bush Presidential Records, Brent Scowcroft Collection, Administrative Files, OA/ID 85033–008, Appointments Completed, January to June 1989 [2].","https://catalog.archives.gov/id/366552142","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-gbs/74785770/41-bpr-scow-admin-85033-008.pdf"
