"id","date","displayDateLabel","title","heading","dateline","type","chapter","selection","releaseStatus","pageCount","classification","naid","localId","sourceNoteStatus","sourceNote","catalogUrl","pdfUrl"
"deal-1989-03-03-paris-sherpa-report-withheld","1989-03-03","","Report on the Sherpa Meeting of February 24-26","Message Reporting on the Sherpa Meeting of February 24-26","March 3, 1989","Withdrawn message","Economic Summits and Industrialized-Country Cooperation","Consider","Withheld","6","Confidential","452050593","CF00972-002","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–002, Paris Economic Summit [July 1989]. Confidential.","https://catalog.archives.gov/id/452050593","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-002.pdf"
"deal-1989-03-08-melby-paris-preparatory","1989-03-08","","Paris Economic Summit Preparatory Meeting","Memorandum From Eric Melby of the National Security Council Staff to the President's Assistant for National Security Affairs (Scowcroft)","Washington, March 8, 1989","Memorandum","Economic Summits and Industrialized-Country Cooperation","Core","Released","1","Confidential","452050593","CF00972-002","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–002, Paris Economic Summit [July 1989]. Confidential.","https://catalog.archives.gov/id/452050593","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-002.pdf"
"deal-1989-03-10-levitsky-nsr3","1989-03-10","","National Security Review No. 3: U.S.-Soviet Relations","Memorandum From the Executive Secretary of the Department of State (Levitsky) to the President's Assistant for National Security Affairs (Scowcroft)","Washington, March 10, 1989","Memorandum","Transition Economies and International Economic Strategy","Consider","Released","1","Secret; Exdis","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret; Exdis.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-03-10-nsr3-paper-withheld","1989-03-10","Undated; transmitted March 10, 1989","National Security Review 3: U.S.-Soviet Relations","Paper Prepared for National Security Review 3","Washington, undated","Withdrawn paper","Transition Economies and International Economic Strategy","Core","Withheld","31","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-03-15-melby-white-house-summit-group","1989-03-15","","White House Summit Group Meeting on Paris Summit","Memorandum From Eric Melby of the National Security Council Staff to the President's Assistant for National Security Affairs (Scowcroft)","Washington, March 15, 1989","Memorandum","Economic Summits and Industrialized-Country Cooperation","Consider","Released","1","Confidential","452050593","CF00972-002","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–002, Paris Economic Summit [July 1989]. Confidential.","https://catalog.archives.gov/id/452050593","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-002.pdf"
"deal-1989-03-20-scowcroft-sununu-paris","1989-03-20","","Paris Economic Summit","Memorandum From the President's Assistant for National Security Affairs (Scowcroft) to the White House Chief of Staff (Sununu)","Washington, March 20, 1989","Memorandum","Economic Summits and Industrialized-Country Cooperation","Core","Released","1","Confidential","452050593","CF00972-002","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–002, Paris Economic Summit [July 1989]. Confidential.","https://catalog.archives.gov/id/452050593","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-002.pdf"
"deal-1989-03-21-economic-policy-directive-1","1989-03-21","","Trade Strategy Review","Economic Policy Directive 1","Washington, March 21, 1989","Economic Policy Directive","Trade Policy and Market Access","Core","Released","2","No classification marking","452050609","CF00972-018","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–018, Trade. No classification marking.","https://catalog.archives.gov/id/452050609","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-018.pdf"
"deal-1989-03-24-melby-economic-policy-directive","1989-03-24","","Economic Policy Directive 1","Memorandum From Eric Melby of the National Security Council Staff to the President's Assistant for National Security Affairs (Scowcroft)","Washington, March 24, 1989","Memorandum","Trade Policy and Market Access","Core","Released","1","No classification marking","452050609","CF00972-018","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–018, Trade. No classification marking.","https://catalog.archives.gov/id/452050609","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-018.pdf"
"deal-1989-03-28-rice-gates-nsr3-withheld","1989-03-28","","Deputies Committee Meeting on National Security Review 3","Memorandum From Condoleezza Rice of the National Security Council Staff to the Deputy President's Assistant for National Security Affairs (Gates)","Washington, March 28, 1989","Withdrawn memorandum","Transition Economies and International Economic Strategy","Core","Withheld","6","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-06-09-soviet-economic-relations-paper-withheld","1989-06-09","","PCC Paper on U.S.-Soviet Economic Relations","Paper Prepared by the Policy Coordinating Committee on U.S.-Soviet Relations","Washington, June 9, 1989","Withdrawn paper","Transition Economies and International Economic Strategy","Core","Withheld","23","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-11-08-malta-economic-relations-withheld","1989-11-08","","Malta Meeting: U.S.-Soviet Economic Relations","Memorandum From Timothy E. Deal of the National Security Council Staff to Robert Blackwill of the National Security Council Staff","Washington, November 8, 1989","Withdrawn memorandum","Transition Economies and International Economic Strategy","Core","Withheld","6","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-11-15-baker-malta-letter-withheld","1989-11-15","","Draft Letter to Allied Leaders on Malta","Memorandum From Secretary of State Baker to President Bush","Washington, November 15, 1989","Withdrawn memorandum","Transition Economies and International Economic Strategy","Consider","Withheld","1","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1989-11-15-malta-presidential-message-withheld","1989-11-15","Undated; filed with November 15 Malta material","Presidential Message to Allied Leaders on the Malta Meeting","Draft Presidential Message to Allied Leaders","Undated","Withdrawn draft message","Transition Economies and International Economic Strategy","Consider","Withheld","7","Secret","452050608","CF00972-017","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9]. Secret.","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"deal-1990-01-19-us-ec-trade-withheld","1990-01-19","","U.S.-EC Trade","Report on U.S.-EC Trade","January 19, 1990","Withdrawn report","Trade Policy and Market Access","Core","Withheld","3","Secret","452050609","CF00972-018","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–018, Trade. Secret.","https://catalog.archives.gov/id/452050609","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-018.pdf"
"deal-1990-01-19-international-economic-energy-trade-withheld","1990-01-19","","International Economic and Energy Trade","Report on International Economic and Energy Trade","January 19, 1990","Withdrawn report","Trade Policy and Market Access","Consider","Withheld","1","Secret","452050609","CF00972-018","verified","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–018, Trade. Secret.","https://catalog.archives.gov/id/452050609","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-018.pdf"
