"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","pdfBytes","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","archivalLocator","catalogUrl","pdfUrl"
"452050587","1989-01-01","1989-01-01","OCR working span","Middle East (Reconstruction)","CF00964-018","Monetary Policy, Debt, and International Institutions","Boundary review","verified","13319999","Restricted - Possibly","0","0","0","0","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–018, Middle East (Reconstruction).","https://catalog.archives.gov/id/452050587","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-018.pdf"
"452050580","1989-01-01","1991-07-31","OCR working span","Latin America [3]","CF00964-011","Trade Policy and Market Access","Boundary review","verified","24231768","Restricted - Possibly","0","1","0","0","27","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–011, Latin America [3].","https://catalog.archives.gov/id/452050580","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-011.pdf"
"452050636","1989-01-24","1991-05-14","OCR working span","Venezuela","CF00973-014","Trade Policy and Market Access","Boundary review","verified","15539434","Restricted - Possibly","0","0","5","0","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00973–014, Venezuela.","https://catalog.archives.gov/id/452050636","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00973-014.pdf"
"452050590","1989-01-30","1991-04-15","OCR working span","Offsets [1]","CF00964-021","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","33999736","Restricted - Possibly","3","3","0","0","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–021, Offsets [1].","https://catalog.archives.gov/id/452050590","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-021.pdf"
"352793404","1989-02-02","1990-05-01","OCR working span","CFIUS [Committee on Foreign Investment in the US] [5]","CF00961-011","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","42338284","Undetermined","4","5","0","0","14","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–011, CFIUS [Committee on Foreign Investment in the US] [5].","https://catalog.archives.gov/id/352793404","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-011.pdf"
"452050591","1989-02-28","1990-08-10","OCR working span","Offsets [2]","CF00964-022","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","110598928","Restricted - Possibly","0","2","0","0","24","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00964–022, Offsets [2].","https://catalog.archives.gov/id/452050591","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-022.pdf"
"452050515","1989-03-01","1990-03-31","Catalog coverage dates","COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [1]","CF00961-013","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","31100252","Restricted - Possibly","0","0","0","8","36","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–013, COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [1].","https://catalog.archives.gov/id/452050515","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-013.pdf"
"452050516","1989-03-01","1990-03-31","Catalog coverage dates","COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [2]","CF00961-014","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","48666128","Restricted - Possibly","0","0","0","11","30","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–014, COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [2].","https://catalog.archives.gov/id/452050516","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-014.pdf"
"452050517","1989-03-01","1990-03-31","Catalog coverage dates","COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [3]","CF00961-015","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","27053452","Restricted - Possibly","2","1","0","2","24","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–015, COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [3].","https://catalog.archives.gov/id/452050517","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-015.pdf"
"452050518","1989-03-01","1990-03-31","Catalog coverage dates","COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [4]","CF00961-016","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","20945776","Restricted - Possibly","0","2","0","4","26","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00961–016, COCOM [Coordinating Committee for Multilateral Export Controls] (March 1989 - March 1990) [4].","https://catalog.archives.gov/id/452050518","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00961-016.pdf"
"452050616","1989-03-06","1990-03-09","OCR working span","[Timothy] Deal Travel [7]","CF00972-025","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","verified","42851064","Restricted - Possibly","0","3","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–025, [Timothy] Deal Travel [7].","https://catalog.archives.gov/id/452050616","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-025.pdf"
"452050614","1989-03-06","1990-09-15","OCR working span","[Timothy] Deal Travel [5]","CF00972-023","Economic Summits and Industrialized-Country Cooperation","Volume XXX review","verified","69320104","Restricted - Possibly","0","5","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–023, [Timothy] Deal Travel [5].","https://catalog.archives.gov/id/452050614","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-023.pdf"
"452050539","1989-03-09","1989-09-25","OCR working span","Debt [4]","CF00962-013","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","42118724","Restricted - Possibly","6","6","0","0","23","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–013, Debt [4].","https://catalog.archives.gov/id/452050539","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-013.pdf"
"452050608","1989-03-10","1989-03-10","OCR working span","Soviet Union [9]","CF00972-017","Transition Economies and International Economic Strategy","Volume XXX review","verified","6070065","Restricted - Possibly","0","1","0","0","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00972–017, Soviet Union [9].","https://catalog.archives.gov/id/452050608","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-017.pdf"
"452050538","1989-03-10","1989-04-05","OCR working span","Debt [3]","CF00962-012","Monetary Policy, Debt, and International Institutions","Volume XXX review","verified","33886524","Restricted - Possibly","4","4","0","0","27","George H.W. Bush Library, Bush Presidential Records, National Security Council, Timothy E. Deal Files, Subject Files, OA/ID CF00962–012, Debt [3].","https://catalog.archives.gov/id/452050538","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-012.pdf"
